# KEGG facts behind kegg_predicates.tsv, generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	symbols	name	brite	modules
K02342	dnaQ	DNA polymerase III subunit epsilon [EC:2.7.7.7]	ko03032:Prokaryotic type > DNA Replication Elongation Factors > Elongation factors (bacterial) > DNA polymerase III holoenzyme|ko03400:Prokaryotic type > SSBR (single strand breaks repair) > MMR (mismatch excision repair) > DNA polymerase III holoenzyme	
K02343	dnaX	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	ko03032:Prokaryotic type > DNA Replication Elongation Factors > Elongation factors (bacterial) > DNA polymerase III holoenzyme|ko03400:Prokaryotic type > SSBR (single strand breaks repair) > MMR (mismatch excision repair) > DNA polymerase III holoenzyme	
K02344	holD	DNA polymerase III subunit psi [EC:2.7.7.7]	ko03032:Prokaryotic type > DNA Replication Elongation Factors > Elongation factors (bacterial) > DNA polymerase III holoenzyme|ko03400:Prokaryotic type > SSBR (single strand breaks repair) > MMR (mismatch excision repair) > DNA polymerase III holoenzyme	
K02345	holE	DNA polymerase III subunit theta [EC:2.7.7.7]	ko03032:Prokaryotic type > DNA Replication Elongation Factors > Elongation factors (bacterial) > DNA polymerase III holoenzyme|ko03400:Prokaryotic type > SSBR (single strand breaks repair) > MMR (mismatch excision repair) > DNA polymerase III holoenzyme	
K02346	dinB	DNA polymerase IV [EC:2.7.7.7]	ko03400:Prokaryotic type > TLS (translesion DNA synthesis) factors > Y-family DNA polymerases	
K02349	POLQ	DNA polymerase theta [EC:2.7.7.7]	ko03400:Eukaryotic type > Other factors with a suspected DNA repair function > DNA polymerases	
K02350	REV3L, POLZ	DNA polymerase zeta [EC:2.7.7.7]	ko03400:Eukaryotic type > TLS (translesion DNA synthesis) factors > B-family DNA polymerases	
K02351	K02351	putative membrane protein		
K02352	drp35	lactonase [EC:3.1.1.-]		
K02355	fusA, GFM, EFG	elongation factor G	ko03012:Eukaryotic type > Elongation factors|ko03012:Prokaryotic type > Elongation factors	
K02356	efp	elongation factor P	ko03012:Prokaryotic type > Elongation factors	
K02357	tsf, TSFM	elongation factor Ts	ko03012:Eukaryotic type > Elongation factors|ko03012:Prokaryotic type > Elongation factors	
K02358	tuf, TUFM	elongation factor Tu	ko03012:Eukaryotic type > Elongation factors|ko03012:Prokaryotic type > Elongation factors	
K02359	EGH	beta-1,4-mannosyltransferase [EC:2.4.1.-]	ko01003:Glycan extension > Glycolipid	
K02361	entC	isochorismate synthase [EC:5.4.4.2]		
K02362	entD, pptT	enterobactin synthetase component D / holo-[acyl-carrier protein] synthase [EC:6.3.2.14 2.7.8.7]		
K02363	entE, dhbE, vibE, mxcE	2,3-dihydroxybenzoate---[aryl-carrier protein] ligase [EC:6.3.2.14 6.2.1.71]		
K02364	entF	L-serine---[L-seryl-carrier protein] ligase [EC:6.3.2.14 6.2.1.72]		
K02365	ESP1	separase [EC:3.4.22.49]	ko01002:Cysteine peptidases > Family C50: separase family	
K02366	EXT1	glucuronyl/N-acetylglucosaminyl transferase EXT1 [EC:2.4.1.224 2.4.1.225]	ko01003:Glycan extension > O-Glycan	M00059
K02367	EXT2	glucuronyl/N-acetylglucosaminyl transferase EXT2 [EC:2.4.1.224 2.4.1.225]	ko01003:Glycan extension > O-Glycan	M00059
K02368	EXTL1	alpha-1,4-N-acetylglucosaminyltransferase EXTL1 [EC:2.4.1.224]	ko01003:Glycan extension > O-Glycan	M00059
K02369	EXTL2	alpha-1,4-N-acetylglucosaminyltransferase EXTL2 [EC:2.4.1.223]	ko01003:Glycan extension > O-Glycan	M00059
K02370	EXTL3	alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]	ko01003:Glycan extension > O-Glycan	M00059
K02371	fabK	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]		M00083
K02372	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]		M00083,M00572
K02373	FADD	FAS-associated death domain protein		
K02374	PTPN13, FAP-1	tyrosine-protein phosphatase non-receptor type 13		
K02377	TSTA3, fcl	GDP-L-fucose synthase [EC:1.1.1.271]		M01016
K02381	allF, fdrA	oxamate carbamoyltransferase subunit AllF [EC:2.1.3.5]		
K02382	flbA	flagellar protein FlbA	ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02383	flbB	flagellar protein FlbB	ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02384	flbC	flagellar protein FlbC	ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02385	flbD	flagellar protein FlbD	ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02386	flgA	flagellar basal body P-ring formation protein FlgA	ko02035:Flagellar system > Flagellar assembly proteins > M, S, P and L rings	
K02387	flgB	flagellar basal-body rod protein FlgB	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02388	flgC	flagellar basal-body rod protein FlgC	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02389	flgD	flagellar basal-body rod modification protein FlgD	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02390	flgE	flagellar hook protein FlgE	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02391	flgF	flagellar basal-body rod protein FlgF	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02392	flgG	flagellar basal-body rod protein FlgG	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02393	flgH	flagellar L-ring protein FlgH	ko02035:Flagellar system > Flagellar assembly proteins > M, S, P and L rings	
K02394	flgI	flagellar P-ring protein FlgI	ko02035:Flagellar system > Flagellar assembly proteins > M, S, P and L rings	
K02395	flgJ	peptidoglycan hydrolase FlgJ	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02396	flgK	flagellar hook-associated protein 1	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02397	flgL	flagellar hook-associated protein 3 FlgL	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02398	flgM	negative regulator of flagellin synthesis FlgM	ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02399	flgN	flagellar biosynthesis protein FlgN	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02400	flhA	flagellar biosynthesis protein FlhA	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02401	flhB	flagellar biosynthesis protein FlhB	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02402	flhC	flagellar transcriptional activator FlhC	ko02035:Flagellar system > Flagellar assembly proteins > Stator	
K02403	flhD	flagellar transcriptional activator FlhD	ko02035:Flagellar system > Flagellar assembly proteins > Stator	
K02404	flhF	flagellar biosynthesis protein FlhF	ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02405	fliA, whiG	RNA polymerase sigma factor FliA	ko02035:Flagellar system > Flagellar assembly proteins > Stator|ko03021:Prokaryotic type > Bacterial type > RNA polymerase > Sigma factors	
K02406	fliC, hag	flagellin	ko02035:Flagellar system > Flagellar assembly proteins > Filament	
K02407	fliD	flagellar hook-associated protein 2	ko02035:Flagellar system > Flagellar assembly proteins > Filament	
K02408	fliE	flagellar hook-basal body complex protein FliE	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02409	fliF	flagellar M-ring protein FliF	ko02035:Flagellar system > Flagellar assembly proteins > M, S, P and L rings|ko02044:Type III secretion system > Flagellar export apparatus	
K02410	fliG	flagellar motor switch protein FliG	ko02035:Flagellar system > Flagellar assembly proteins > C ring	
K02411	fliH	flagellar assembly protein FliH	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02412	fliI	flagellum-specific ATP synthase [EC:7.4.2.8]	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02413	fliJ	flagellar protein FliJ	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion	
K02414	fliK	flagellar hook-length control protein FliK	ko02035:Flagellar system > Flagellar assembly proteins > Rod and hook	
K02415	fliL	flagellar protein FliL	ko02035:Flagellar system > Flagellar assembly proteins > M, S, P and L rings	
K02416	fliM	flagellar motor switch protein FliM	ko02035:Flagellar system > Flagellar assembly proteins > C ring	
K02417	fliN	flagellar motor switch protein FliN	ko02035:Flagellar system > Flagellar assembly proteins > C ring|ko02044:Type III secretion system > Flagellar export apparatus	
K02418	fliO, fliZ	flagellar protein FliO/FliZ	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02419	fliP	flagellar biosynthesis protein FliP	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02420	fliQ	flagellar biosynthesis protein FliQ	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02421	fliR	flagellar biosynthesis protein FliR	ko02035:Flagellar system > Flagellar assembly proteins > Type-III secretion|ko02044:Type III secretion system > Flagellar export apparatus	
K02422	fliS	flagellar secretion chaperone FliS	ko02035:Flagellar system > Flagellar assembly proteins > Filament	
K02423	fliT	flagellar protein FliT	ko02035:Flagellar system > Flagellar assembly proteins > Filament	
K02424	tcyA, tcyJ, fliY	L-cystine transport system substrate-binding protein	ko02000:ABC transporters, prokaryotic type > Phosphate and amino acid transporters > Cystine transporter|ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02425	fliZ	regulator of sigma S factor FliZ	ko02035:Flagellar system > Flagellar assembly proteins > Others	
K02427	rlmE, rrmJ, ftsJ	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]		
K02429	fucP, deoP, nagP, agaP	MFS transporter, FHS family, fucose-galactose-glucose:H+ symporter family protein	ko02000:Major facilitator superfamily (MFS) > Sugar transporters > Fucose:H+ symporter (FHS) family [TC:2.A.1.7]	
K02430	fucR	DeoR family transcriptional regulator, L-fucose operon activator	ko03000:Prokaryotic type > Helix-turn-helix > DeoR family	
K02431	fucU, FUOM	L-fucose mutarotase [EC:5.1.3.29]		
K02433	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]		
K02434	gatB, PET112	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]		
K02435	gatC, GATC	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]		
K02436	gatR	DeoR family transcriptional regulator, galactitol utilization operon repressor	ko03000:Prokaryotic type > Helix-turn-helix > DeoR family	
K02437	gcvH, GCSH	glycine cleavage system H protein		M00532+
K02438	glgX	glycogen debranching enzyme [EC:3.2.1.196]		M00855
K02439	glpE	thiosulfate sulfurtransferase [EC:2.8.1.1]		
K02440	glpF	glycerol uptake facilitator	ko02000:Other transporters > Aquaporins and small neutral solute transporters [TC:1.A.8] > Aquaglyceroporins or glycerol-uptake facilitators	
K02441	glpG	rhomboid protease GlpG [EC:3.4.21.105]	ko01002:Serine peptidases > Family S54: Rhomboid family	
K02442	glpM	membrane protein GlpM		
K02443	glpP	glycerol uptake operon antiterminator	ko03000:Prokaryotic type > Other transcription factors > Others	
K02444	glpR	DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	ko03000:Prokaryotic type > Helix-turn-helix > DeoR family	
K02445	glpT	MFS transporter, OPA family, glycerol-3-phosphate transporter	ko02000:Major facilitator superfamily (MFS) > Phosphate and organophosphate transporters > Organophosphate:Pi antiporter (OPA) family [TC:2.A.1.4]	
K02446	glpX	fructose-1,6-bisphosphatase II [EC:3.1.3.11]		M00003,M00165
K02448	norD	nitric oxide reductase NorD protein		
K02449	CDK10	cyclin-dependent kinase 10 [EC:2.7.11.22]		
K02450	gspA	general secretion pathway protein A	ko02044:Type II secretion system > General secretion pathway protein	
K02451	gspB	general secretion pathway protein B	ko02044:Type II secretion system > General secretion pathway protein	
K02452	gspC	general secretion pathway protein C	ko02044:Type II secretion system > General secretion pathway protein	
K02453	gspD	general secretion pathway protein D	ko02044:Type II secretion system > General secretion pathway protein	
K02454	gspE	general secretion pathway protein E [EC:7.4.2.8]	ko02044:Type II secretion system > General secretion pathway protein	
K02455	gspF	general secretion pathway protein F	ko02044:Type II secretion system > General secretion pathway protein	
K02456	gspG	general secretion pathway protein G	ko02044:Type II secretion system > General secretion pathway protein	
K02457	gspH	general secretion pathway protein H	ko02044:Type II secretion system > General secretion pathway protein	
K02458	gspI	general secretion pathway protein I	ko02044:Type II secretion system > General secretion pathway protein	
K02459	gspJ	general secretion pathway protein J	ko02044:Type II secretion system > General secretion pathway protein	
K02460	gspK	general secretion pathway protein K	ko02044:Type II secretion system > General secretion pathway protein	
K02461	gspL	general secretion pathway protein L	ko02044:Type II secretion system > General secretion pathway protein	
K02462	gspM	general secretion pathway protein M	ko02044:Type II secretion system > General secretion pathway protein	
K02463	gspN	general secretion pathway protein N	ko02044:Type II secretion system > General secretion pathway protein	
K02464	gspO	general secretion pathway protein O [EC:3.4.23.43 2.1.1.-]	ko01002:Aspartic peptidases > Family A24: type IV prepilin peptidase family|ko02044:Type II secretion system > General secretion pathway protein	
K02465	gspS	general secretion pathway protein S	ko02044:Type II secretion system > General secretion pathway protein	
K02467	gutQ	arabinose 5-phosphate isomerase [EC:5.3.1.13]		
K02468	srlR, gutR	DeoR family transcriptional regulator, glucitol operon repressor	ko03000:Prokaryotic type > Helix-turn-helix > DeoR family	
K02469	gyrA	DNA gyrase subunit A [EC:5.6.2.2]	ko03032:Prokaryotic type > DNA Topoisomerases|ko03400:Prokaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > SHIIR (short-homology-independent illegitimate recombination) > Facilitator	
K02470	gyrB	DNA gyrase subunit B [EC:5.6.2.2]	ko03032:Prokaryotic type > DNA Topoisomerases|ko03400:Prokaryotic type > DSBR (double strand breaks repair) > NHEJ (non-homologous end-joining) > SHIIR (short-homology-independent illegitimate recombination) > Facilitator	
K02471	bacA, bclA	vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	ko02000:ABC transporters, eukaryotic type > Other subfamilies > Other ABC transporters	
K02472	wecC	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]		M01014
K02473	wbpP	UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45]		M01036
K02474	wbpO	UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]		M01035,M01036
K02475	K02475	two-component system, CitB family, response regulator	ko02022:CitB family > Unclassified	
