# KEGG ortholog names for every KO in kegg_map.KEGG_TO_PREDICATES.
# Source: https://rest.kegg.jp/list/<KO>, retrieved 2026-09-24; KOs retired from KEGG REST use the KOfam ko_list definition. Refresh when adding KOs.
# ko	symbols	definition
K00024	mdh	malate dehydrogenase [EC:1.1.1.37]
K00984	aadA	streptomycin 3"-adenylyltransferase [EC:2.7.7.47]
K01356	lexA	repressor LexA [EC:3.4.21.88]
K01358	clpP, CLPP	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
K01467	ampC	beta-lactamase class C [EC:3.5.2.6]
K01471	nylA	6-aminohexanoate-cyclic-dimer hydrolase [EC:3.5.2.12]
K01520	dut, DUT	dUTP diphosphatase [EC:3.6.1.23]
K01601	rbcL, cbbL	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
K01602	rbcS, cbbS	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]
K01623	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K01624	FBA, fbaA	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K01647	CS, gltA, CIT	citrate synthase [EC:2.3.3.1]
K01676	E4.2.1.2A, fumA, fumB	fumarate hydratase, class I [EC:4.2.1.2]
K01681	ACO	aconitate hydratase [EC:4.2.1.3]
K01689	ENO1_2_3, eno	enolase 1/2/3 [EC:4.2.1.11]
K01810	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]
K01866	YARS, tyrS	tyrosyl-tRNA synthetase [EC:6.1.1.1]
K01867	WARS, trpS	tryptophanyl-tRNA synthetase [EC:6.1.1.2]
K01868	TARS, thrS	threonyl-tRNA synthetase [EC:6.1.1.3]
K01869	LARS, leuS	leucyl-tRNA synthetase [EC:6.1.1.4]
K01902	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
K01953	asnB, ASNS	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
K01999	livK	branched-chain amino acid transport system substrate-binding protein
K02003	ABC.CD.A	putative ABC transport system ATP-binding protein
K02004	ABC.CD.P	putative ABC transport system permease protein
K02020	modA	molybdate transport system substrate-binding protein
K02035	ABC.PE.S	peptide/nickel transport system substrate-binding protein
K02036	pstB	phosphate transport system ATP-binding protein [EC:7.3.2.1]
K02037	pstC	phosphate transport system permease protein
K02038	pstA	phosphate transport system permease protein
K02040	pstS	phosphate transport system substrate-binding protein
K02041	phnC	phosphonate transport system ATP-binding protein [EC:7.3.2.2]
K02046	cysU	sulfate/thiosulfate transport system permease protein
K02048	cysP	sulfate/thiosulfate transport system substrate-binding protein
K02055	ABC.SP.S	putative spermidine/putrescine transport system substrate-binding protein
K02108	ATPF0A, atpB	F-type H+-transporting ATPase subunit a
K02109	ATPF0B, atpF	F-type H+-transporting ATPase subunit b
K02110	ATPF0C, atpE	F-type H+-transporting ATPase subunit c
K02111	ATPF1A, atpA	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
K02112	ATPF1B, atpD	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
K02113	ATPF1D, atpH	F-type H+-transporting ATPase subunit delta
K02115	ATPF1G, atpG	F-type H+-transporting ATPase subunit gamma
K02238	comEC	competence protein ComEC
K02274	coxA, ctaD	cytochrome c oxidase subunit I [EC:7.1.1.9]
K02275	coxB, ctaC	cytochrome c oxidase subunit II [EC:7.1.1.9]
K02276	coxC, ctaE	cytochrome c oxidase subunit III [EC:7.1.1.9]
K02277	coxD, ctaF	cytochrome c oxidase subunit IV [EC:7.1.1.9]
K02313	dnaA	chromosomal replication initiator protein
K02314	dnaB	replicative DNA helicase [EC:5.6.2.3]
K02316	dnaG	DNA primase [EC:2.7.7.101]
K02335	polA	DNA polymerase I [EC:2.7.7.7]
K02337	dnaE	DNA polymerase III subunit alpha [EC:2.7.7.7]
K02338	dnaN	DNA polymerase III subunit beta [EC:2.7.7.7]
K02340	holA	DNA polymerase III subunit delta [EC:2.7.7.7]
K02342	dnaQ	DNA polymerase III subunit epsilon [EC:2.7.7.7]
K02355	fusA, GFM, EFG	elongation factor G
K02357	tsf, TSFM	elongation factor Ts
K02358	tuf, TUFM	elongation factor Tu
K02469	gyrA	DNA gyrase subunit A [EC:5.6.2.2]
K02470	gyrB	DNA gyrase subunit B [EC:5.6.2.2]
K02483	K02483	two-component system, OmpR family, response regulator
K02518	infA	translation initiation factor IF-1
K02519	infB, MTIF2	translation initiation factor IF-2
K02520	infC, MTIF3	translation initiation factor IF-3
K02567	napA	nitrate reductase (cytochrome) [EC:1.9.6.1]
K02585	nifB	nitrogen fixation protein NifB
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
K02587	nifE	nitrogenase molybdenum-cofactor synthesis protein NifE
K02588	nifH	nitrogenase iron protein NifH
K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
K02592	nifN	nitrogenase molybdenum-iron protein NifN
K02593	nifT	nitrogen fixation protein NifT
K02594	nifV	homocitrate synthase NifV [EC:2.3.3.14]
K02600	nusA	transcription termination/antitermination protein NusA
K02634	petA	apocytochrome f
K02635	petB	cytochrome b6
K02636	petC	cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
K02684	PRI1	DNA primase small subunit [EC:2.7.7.102]
K02689	psaA	photosystem I P700 chlorophyll a apoprotein A1 [EC:1.97.1.12]
K02690	psaB	photosystem I P700 chlorophyll a apoprotein A2 [EC:1.97.1.12]
K02703	psbA	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02706	psbD	photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K02863	RP-L1, MRPL1, rplA	large subunit ribosomal protein L1
K02886	RP-L2, MRPL2, RML2, rplB	large subunit ribosomal protein L2
K02906	RP-L3, MRPL3, rplC	large subunit ribosomal protein L3
K02935	RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12
K02945	RP-S1, rpsA	small subunit ribosomal protein S1
K03070	secA	preprotein translocase subunit SecA [EC:7.4.2.8]
K03071	secB	preprotein translocase subunit SecB
K03072	secD	preprotein translocase subunit SecD
K03073	secE	preprotein translocase subunit SecE
K03075	secG	preprotein translocase subunit SecG
K03076	secY	preprotein translocase subunit SecY
K03088	rpoE	RNA polymerase sigma-70 factor, ECF subfamily
K03116	tatA	sec-independent protein translocase protein TatA
K03117	tatB	sec-independent protein translocase protein TatB
K03118	tatC	sec-independent protein translocase protein TatC
K03120	TBP, tbp	transcription initiation factor TFIID TATA-box-binding protein
K03124	TFIIB, GTF2B, SUA7, tfb	transcription initiation factor TFIIB
K03154	thiS	sulfur carrier protein
K03194	virB1	type IV secretion system protein VirB1
K03195	virB10, lvhB10	type IV secretion system protein VirB10
K03205	virD4, lvhD4	type IV secretion system protein VirD4 [EC:7.4.2.8]
K03219	yscC, sctC, ssaC	type III secretion protein C
K03224	yscN, sctN, hrcN, ssaN	ATP synthase in type III secretion protein N [EC:7.4.2.8]
K03230	yscV, sctV, hrcV, ssaV, invA	type III secretion protein V
K03386	PRDX2_4, ahpC	peroxiredoxin 2/4 [EC:1.11.1.24]
K03388	hdrA2	heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03389	hdrB2	heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03390	hdrC2	heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03391	pcpB	pentachlorophenol monooxygenase [EC:1.14.13.50]
K03407	cheA	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
K03413	cheY	two-component system, chemotaxis family, chemotaxis protein CheY
K03466	ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
K03496	parA, soj	chromosome partitioning protein
K03497	parB, spo0J	ParB family transcriptional regulator, chromosome partitioning protein
K03498	trkH, trkG, ktrB, ktrD	trk/ktr system potassium uptake protein
K03499	trkA, ktrA, ktrC	trk/ktr system potassium uptake protein
K03529	smc	chromosome segregation protein
K03531	ftsZ	cell division protein FtsZ
K03544	clpX, CLPX	ATP-dependent Clp protease ATP-binding subunit ClpX
K03555	mutS	DNA mismatch repair protein MutS
K03568	tldD	TldD protein
K03572	mutL	DNA mismatch repair protein MutL
K03585	acrA, mexA, adeI, smeD, mtrC, cmeA	membrane fusion protein, multidrug efflux system
K03586	ftsL	cell division protein FtsL
K03587	ftsI	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
K03588	ftsW, spoVE, rodA	peptidoglycan glycosyltransferase [EC:2.4.99.28]
K03589	ftsQ	cell division protein FtsQ
K03590	ftsA	cell division protein FtsA
K03591	ftsN	cell division protein FtsN
K03592	pmbA	PmbA protein
K03593	mrp, NUBPL	ATP-binding protein involved in chromosome partitioning
K03595	era, ERAL1	GTPase
K03671	TXN, trxA	thioredoxin
K03686	dnaJ	molecular chaperone DnaJ
K03694	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA
K03695	clpB	ATP-dependent Clp protease ATP-binding subunit ClpB
K03699	tlyC	magnesium and cobalt exporter, CNNM family
K03701	uvrA	excinuclease ABC subunit A
K03702	uvrB	excinuclease ABC subunit B
K03703	uvrC	excinuclease ABC subunit C
K03781	katE, CAT, catB, srpA	catalase [EC:1.11.1.6]
K03782	katG	catalase-peroxidase [EC:1.11.1.21]
K03924	moxR	MoxR-like ATPase [EC:3.6.3.-]
K03926	cutA	periplasmic divalent cation tolerance protein
K04043	dnaK, HSPA9	molecular chaperone DnaK
K04069	pflA, pflC, pflE	pyruvate formate lyase activating enzyme [EC:1.97.1.4]
K04077	groEL, HSPD1, HSP60, CPN60, ths	chaperonin GroEL [EC:5.6.1.7]
K04078	groES, HSPE1	chaperonin GroES
K04079	HSP90A, htpG	molecular chaperone HtpG
K04488	iscU, nifU	nitrogen fixation protein NifU and related proteins
K04561	norB	nitric oxide reductase subunit B [EC:1.7.2.5]
K04564	SOD2	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
K04565	SOD1	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
K04651	hypA, hybF	hydrogenase nickel incorporation protein HypA/HybF
K04652	hypB	hydrogenase nickel incorporation protein HypB
K04653	hypC	hydrogenase expression/formation protein HypC
K04654	hypD	hydrogenase expression/formation protein HypD
K04655	hypE	hydrogenase expression/formation protein HypE
K04656	hypF	hydrogenase maturation protein HypF
K04769	spoVT	AbrB family transcriptional regulator, stage V sporulation protein T
K04795	flpA	fibrillarin-like pre-rRNA processing protein
K04799	FEN1, RAD2	flap endonuclease-1 [EC:3.1.-.-]
K05394	atzA	atrazine chlorohydrolase [EC:3.8.1.8]
K05770	TSPO, BZRP	translocator protein
K05914	E1.13.12.7	photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:1.13.12.7]
K05918	bmp5	4-hydroxybenzoate brominase (decarboxylating) [EC:1.14.19.55]
K05922	hydB	quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]
K05927	hydA	quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]
K06196	ccdA	cytochrome c-type biogenesis protein
K06223	dam	DNA adenine methylase [EC:2.1.1.72]
K06281	hyaB, hybC	hydrogenase large subunit [EC:1.12.99.6]
K06282	hyaA, hybO	hydrogenase small subunit [EC:1.12.99.6]
K07012	cas3	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4]
K07059	rho2	rhomboid family protease [EC:3.4.21.105]
K07133	K07133	uncharacterized protein
K07332	flaI	archaeal flagellar protein FlaI
K07333	flaJ	archaeal flagellar protein FlaJ
K07341	doc	death on curing protein
K07463	K07463	archaea-specific RecJ-like exonuclease
K07465	K07465	putative RecB family exonuclease
K07477	K07477	translin
K07481	K07481	transposase, IS5 family
K07496	K07496	putative transposase
K07579	K07579	putative methylase
K07636	phoR	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
K07638	envZ	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]
K07648	arcB	two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]
K07657	phoB	two-component system, OmpR family, phosphate regulon response regulator PhoB
K07659	ompR	two-component system, OmpR family, phosphate regulon response regulator OmpR
K07673	narX	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]
K07678	barA, gacS, varS	two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]
K07684	narL	two-component system, NarL family, nitrate/nitrite response regulator NarL
K08482	kaiC	circadian clock protein KaiC
K09119	cgi121	KEOPS complex subunit Cgi121
K09741	pcc1	KEOPS complex subunit Pcc1
K09951	cas2	CRISPR-associated protein Cas2
K09952	csn1, cas9	CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
K10542	mglA	methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11]
K10673	strA	streptomycin 3"-kinase [EC:2.7.1.87]
K10944	pmoA	methane monooxygenase subunit A [EC:1.14.18.3]
K10945	pmoB-amoB	methane/ammonia monooxygenase subunit B
K10946	pmoC-amoC	methane/ammonia monooxygenase subunit C
K11180	dsrA	dissimilatory sulfite reductase alpha subunit [EC:1.8.1.22]
K11181	dsrB	dissimilatory sulfite reductase beta subunit [EC:1.8.1.22]
K11900	impC	type VI secretion system protein ImpC
K11901	impB	type VI secretion system protein ImpB
K12063	traC	conjugal transfer ATP-binding protein TraC
K12633	pur5	N-methyl-transferase [EC:2.1.1.-]
K12705	novO, couO	8-demethylnovobiocic acid C8-methyltransferase [EC:2.1.1.284]
K12714	clohal	clorobiocin biosynthesis protein Clo-hal
K12719	cloN4, couN4	L-proline---[L-prolyl-carrier protein] ligase [EC:6.2.1.53]
K12902	fom3	phosphonoacetaldehyde methylase [EC:2.1.1.308]
K12910	pmmS	2-phosphinomethylmalate synthase [EC:2.3.3.18]
K12912	phsB	phosphinothricin tripeptide synthetase phsB [EC:6.2.1.67]
K12913	phsC	phosphinothricin tripeptide synthetase PhsC
K12914	phpK	P-methyltransferase [EC:2.1.1.326]
K13306	fcd	dTDP-4-dehydro-6-deoxyglucose reductase [EC:1.1.1.266]
K13319	oleU	4-ketoreductase
K13549	btrN	2-deoxy-scyllo-inosamine dehydrogenase (SAM-dependent) [EC:1.1.99.38]
K13608	SNO	senecionine N-oxygenase [EC:1.14.13.101]
K13993	HSP20	HSP20 family protein
K14086	echA	ech hydrogenase subunit A
K14087	echB	ech hydrogenase subunit B
K14088	echC	ech hydrogenase subunit C
K14089	echD	ech hydrogenase subunit D
K14090	echE	ech hydrogenase subunit E
K14091	echF	ech hydrogenase subunit F
K14126	mvhA, vhuA, vhcA	F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]
K14127	mvhD, vhuD, vhcD	F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]
K14128	mvhG, vhuG, vhcG	F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]
K14245	auaC	PKS ketosynthase (KS/KS alpha) [EC:2.3.1.-]
K14373	aveF	C-5 ketoreductase
K14374	aveD	avermectin B 5-O-methyltransferase [EC:2.1.1.-]
K14417	fcbA	4-chlorobenzoate-CoA ligase [EC:6.2.1.33]
K14623	dinD	DNA-damage-inducible protein D
K15342	cas1	CRISP-associated protein Cas1
K15343	sspH1	E3 ubiquitin-protein ligase SspH1
K15384	APDA	aspyridone synthetase, hybrid polyketide synthase / nonribosomal peptide synthetase
K15391	CPAA	cyclopiazonic acid synthetase, hybrid polyketide synthase / nonribosomal peptide synthetase
K15393	CPAO	beta-cyclopiazonate dehydrogenase [EC:1.21.99.1]
K15558	ophH	phthalate transport system ATP-binding protein
K15580	oppA, mppA	oligopeptide transport system substrate-binding protein
K15635	apgM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K15827	hycB	formate hydrogenlyase subunit 2
K15828	hycC	formate hydrogenlyase subunit 3
K15829	hycD	formate hydrogenlyase subunit 4
K15830	hycE	formate hydrogenlyase subunit 5
K15831	hycF	formate hydrogenlyase subunit 6
K15832	hycG	formate hydrogenlyase subunit 7
K15858	ascF	CDP-3, 6-dideoxy-D-glycero-L-glycero-4-hexulose-4-reductase [EC:1.1.1.-]
K15862	ccoNO	cytochrome c oxidase cbb3-type subunit I/II [EC:7.1.1.9]
K15864	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
K15966	mtmOIV	monooxygenase [EC:1.14.13.-]
K15977	K15977	putative oxidoreductase
K16096	grsA	gramicidin S synthase 1
K16097	grsB	gramicidin S synthase 2
K16106	blmVI	nonribosomal peptide synthetase protein BlmVI
K16108	blmX	nonribosomal peptide synthetase protein BlmX
K16109	blmIX	nonribosomal peptide synthetase protein BlmIX
K16112	blmIV	nonribosomal peptide synthetase protein BlmIV
K16116	snbA	pristinamycin I synthetase 1
K16117	snbC	pristinamycin I synthase 2
K16157	mmoX	methane monooxygenase component A alpha chain [EC:1.14.13.25]
K16158	mmoY	methane monooxygenase component A beta chain [EC:1.14.13.25]
K16159	mmoZ	methane monooxygenase component A gamma chain [EC:1.14.13.25]
K16395	epoB	epothilone synthetase B
K16403	sorM	O-methyltransferase
K16414	stiK	methyltransferase
K16415	stiL	cytochrome P450 dependent monooxygenase
K17048	ebdB	ethylbenzene hydroxylase subunit beta
K17051	serB, clrB	selenate/chlorate reductase subunit beta [EC:1.97.1.9 1.97.1.1]
K17055	EGS1	eugenol synthase [EC:1.1.1.318]
K17218	sqr	sulfide:quinone oxidoreductase [EC:1.8.5.4]
K17222	soxA	L-cysteine S-thiosulfotransferase [EC:2.8.5.2]
K17223	soxX	L-cysteine S-thiosulfotransferase [EC:2.8.5.2]
K17224	soxB	S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]
K17225	soxC	sulfane dehydrogenase subunit SoxC
K17226	soxY	sulfur-oxidizing protein SoxY
K17227	soxZ	sulfur-oxidizing protein SoxZ
K17836	penP	beta-lactamase class A [EC:3.5.2.6]
K17939	perB, wbdR	GDP-perosamine N-acetyltransferase [EC:2.3.1.227]
K18008	hydA	[NiFe] hydrogenase small subunit [EC:1.12.2.1]
K18016	mbhL	membrane-bound hydrogenase subunit alpha [EC:1.12.7.2]
K18017	mbhK	membrane-bound hydrogenase subunit beta [EC:1.12.7.2]
K18023	mbhJ	membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]
K18138	acrB, mexB, adeJ, smeE, mtrD, cmeB	multidrug efflux pump
K18139	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC	outer membrane protein, multidrug efflux system
K18140	envR, acrS	TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor
K18535	thnA	putative oxidoreductase
K18698	blaTEM	beta-lactamase class A TEM [EC:3.5.2.6]
K18836	vcaE	reductase VcaE
K18882	priL, pri2, priB	DNA primase large subunit
K19086	csa4, cas8a2	CRISPR-associated protein Csa4
K19087	csa5	CRISPR-associated protein Csa5
K19091	cas6	CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]
K19144	csx3	CRISPR-associated protein Csx3
K19180	tll	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+) [EC:1.1.1.339]
K19313	apmA	aminocyclitol acetyltransferase [EC:2.3.-.-]
K19632	rfbJ	CDP-abequose synthase [EC:1.1.1.341]
K19652	tal	dTDP-6-deoxy-L-talose 4-dehydrogenase [NAD(P)+] [EC:1.1.1.344]
K19857	aveBIV, avrE	dTDP-4-keto-6-deoxy-L-hexose 4-reductase
K19859	ang14	dTDP-4-keto-6-deoxyhexose reductase
K19884	rebO	7-chloro-L-tryptophan oxidase [EC:1.4.3.23]
K19889	rebM	demethylrebeccamycin-D-glucose O-methyltransferase [EC:2.1.1.164]
K20152	kanK, kacC	2'-dehydrokanamycin reductase [EC:1.1.1.355]
K20386	cylB	ATP-binding cassette, subfamily B, bacterial CylB
K20419	atdA1	gamma-glutamylanilide synthase [EC:6.3.1.18]
K20438	valG	validoxylamine A glucosyltransferase [EC:2.4.1.338]
K20439	salP	putative phosphohexomutase / phosphatase
K20442	cetM	2-keto-5-epi-valolone aminotransferase [EC:2.6.1.-]
K20573	kanE, kanM2	2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase [EC:2.4.1.301]
K20575	aprD4	radical SAM diol-dehydratase
K20578	tobM2	glycosyltransferase [EC:2.4.1.-]
K20586	livW	oxidoreductase
K20589	genM2, gtmE, gntD	paromamine D-xylosyltransferase [EC:2.4.2.-]
K20591	genS2, gtmD, gntF	pyridoxal phosphate-dependent aminotransferase [EC:2.6.1.-]
K20592	genN	SAM-dependent 3''-N-methyltransferase [EC:2.1.1.-]
K20593	genD1, gtmI, gntE	cobalamin-dependent radical SAM methyltransferase [EC:2.1.1.-]
K20594	genK, gacD, gntK	gentamicin X2 methyltransferase [EC:2.1.1.390]
K20615	vioD	capreomycidine synthase [EC:4.2.1.145]
K20680	fdtB	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase [EC:2.6.1.90]
K20681	fdtC	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase [EC:2.3.1.197]
K20809	cbdC	2-halobenzoate 1,2-dioxygenase electron transfer component [EC:1.18.1.3]
K20930	pmi	phosphinomethylmalate isomerase [EC:4.2.1.166]
K20944	tsdB	resorcinol 4-hydroxylase (NADH) [EC:1.14.13.220]
K21107	jamA	medium-chain-fatty-acid---[acyl-carrier-protein] ligase [EC:6.2.1.47]
K21175	sgcD1	2-amino-4-deoxychorismate synthase, glutamine amidotransferase component [EC:2.6.1.86]
K21212	ncsC2	NDP-hexose 2,3-dehydratase
K21216	ncsC6	glycosyltransferase [EC:2.4.1.-]
K21256	calO3	flavin-dependent halogenase
K21271	auaH	aurachin B dehydrogenase [EC:1.1.1.394]
K21287	atdA2	gamma-glutamylanilide hydrolase [EC:3.5.1.123]
K21326	sgcA4	aminotransferase
K21365	wbnH, wbiN	O86/O127-antigen biosynthesis alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.306]
K21458	E2.1.1.300	pavine N-methyltransferase [EC:2.1.1.300]
K21541	TMT-1_2	squalene methyltransferase [EC:2.1.1.262]
K21542	TMT-3	botryococcene C-methyltransferase [EC:2.1.1.263]
K21586	wbgM	O55-antigen biosynthesis alpha-1,3-galactosyltransferase
K21593	triA	melamine deaminase [EC:3.5.4.45]
K21664	vLANA, ORF73	KSHV latency-associated nuclear antigen
K21896	NMT	3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase [EC:2.1.1.99]
K21934	frbC	2-phosphonomethylmalate synthase [EC:2.3.3.19]
K22004	TAD1	trans-aconitate decarboxylase [EC:4.1.1.113]
K22098	SDR1, NOS	noscapine synthase [EC:1.1.1.415]
K22362	amoF	alkene monooxygenase ferredoxin reductase component [EC:1.18.1.3]
K22581	TAS1	tenuazonic acid synthetase [EC:6.3.2.50]
K23073	wbbK	O16-antigen biosynthesis glucosyltransferase
K23101	wekV	O18-antigen biosynthesis glucosyltransferase
K23102	wekW	O18-antigen biosynthesis alpha-1,3-galactosyltransferase [EC:2.4.1.-]
K23103	wekU	O18-antigen biosynthesis glycosyltransferase [EC:2.4.1.-]
K23104	wbdH	O111-antigen biosynthesis galactosyltransferase
K23105	wbdL	O111-antigen biosynthesis colitosyltransferase [EC:2.4.1.-]
K23108	BZO1	benzoate---CoA ligase [EC:6.2.1.25]
