# EC numbers whose ENZYME reaction consumes S-adenosyl-L-methionine; generated by scripts/build_ec_sam_table.py from enzyme.dat sha256 6e1f553fcaa15ba7 (Expasy ENZYME, CC BY 4.0)
# ec	name
2.1.1.185	23S rRNA (guanosine(2251)-2'-O)-methyltransferase
2.1.1.186	23S rRNA (cytidine(2498)-2'-O)-methyltransferase
2.1.1.187	23S rRNA (guanine(745)-N(1))-methyltransferase
2.1.1.188	23S rRNA (guanine(748)-N(1))-methyltransferase
2.1.1.189	23S rRNA (uracil(747)-C(5))-methyltransferase
2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase
2.1.1.191	23S rRNA (cytosine(1962)-C(5))-methyltransferase
2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase
2.1.1.193	16S rRNA (uracil(1498)-N(3))-methyltransferase
2.1.1.195	cobalt-precorrin-5B (C(1))-methyltransferase
2.1.1.196	cobalt-precorrin-6B (C(15))-methyltransferase [decarboxylating]
2.1.1.197	malonyl-[acyl-carrier protein] O-methyltransferase
2.1.1.198	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase
2.1.1.200	tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase
2.1.1.202	multisite-specific tRNA:(cytosine-C(5))-methyltransferase
2.1.1.203	tRNA (cytosine(34)-C(5))-methyltransferase
2.1.1.204	tRNA (cytosine(38)-C(5))-methyltransferase
2.1.1.205	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase
2.1.1.206	tRNA (cytidine(56)-2'-O)-methyltransferase
2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase
2.1.1.208	23S rRNA (uridine(2479)-2'-O)-methyltransferase
2.1.1.209	23S rRNA (guanine(2535)-N(1))-methyltransferase
2.1.1.210	demethylspheroidene O-methyltransferase
2.1.1.211	tRNA(Ser) (uridine(44)-2'-O)-methyltransferase
2.1.1.212	2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase
2.1.1.213	tRNA (guanine(10)-N(2))-dimethyltransferase
2.1.1.214	tRNA (guanine(10)-N(2))-methyltransferase
2.1.1.215	tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase
2.1.1.216	tRNA (guanine(26)-N(2))-dimethyltransferase
2.1.1.217	tRNA (adenine(22)-N(1))-methyltransferase
2.1.1.218	tRNA (adenine(9)-N(1))-methyltransferase
2.1.1.219	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase
2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase
2.1.1.221	tRNA (guanine(9)-N(1))-methyltransferase
2.1.1.222	2-polyprenyl-6-hydroxyphenol methylase
2.1.1.223	tRNA1(Val) (adenine(37)-N(6))-methyltransferase
2.1.1.224	23S rRNA (adenine(2503)-C(8))-methyltransferase
2.1.1.225	tRNA:m(4)X modification enzyme
2.1.1.226	23S rRNA (cytidine(1920)-2'-O)-methyltransferase
2.1.1.227	16S rRNA (cytidine(1409)-2'-O)-methyltransferase
2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase
2.1.1.229	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase
2.1.1.230	23S rRNA (adenosine(1067)-2'-O)-methyltransferase
2.1.1.231	flavonoid 4'-O-methyltransferase
2.1.1.232	naringenin 7-O-methyltransferase
2.1.1.233	[phosphatase 2A protein]-leucine-carboxy methyltransferase
2.1.1.234	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase
2.1.1.235	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase
2.1.1.237	mycinamicin III 3''-O-methyltransferase
2.1.1.238	mycinamicin VI 2''-O-methyltransferase
2.1.1.239	L-olivosyl-oleandolide 3-O-methyltransferase
2.1.1.240	trans-resveratrol di-O-methyltransferase
2.1.1.241	2,4,7-trihydroxy-1,4-benzoxazin-3-one-glucoside 7-O-methyltransferase
2.1.1.242	16S rRNA (guanine(1516)-N(2))-methyltransferase
2.1.1.243	5-guanidino-2-oxopentanoate (3R)-methyltransferase
2.1.1.254	erythromycin 3''-O-methyltransferase
2.1.1.255	geranyl diphosphate 2-C-methyltransferase
2.1.1.256	tRNA (guanine(6)-N(2))-methyltransferase
2.1.1.257	tRNA (pseudouridine(54)-N(1))-methyltransferase
2.1.1.259	[fructose-bisphosphate aldolase]-lysine N-methyltransferase
2.1.1.260	rRNA small subunit pseudouridine methyltransferase Nep1
2.1.1.261	4-dimethylallyltryptophan N-methyltransferase
2.1.1.262	squalene methyltransferase
2.1.1.263	botryococcene C-methyltransferase
2.1.1.264	23S rRNA (guanine(2069)-N(7))-methyltransferase
2.1.1.265	tellurite methyltransferase
2.1.1.266	23S rRNA (adenine(2030)-N(6))-methyltransferase
2.1.1.267	flavonoid 3',5'-methyltransferase
2.1.1.268	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase
2.1.1.270	(+)-6a-hydroxymaackiain 3-O-methyltransferase
2.1.1.271	cobalt-precorrin-4 methyltransferase
2.1.1.272	cobalt-factor III methyltransferase
2.1.1.273	benzoate O-methyltransferase
2.1.1.274	salicylate carboxymethyltransferase
2.1.1.275	gibberellin A9 O-methyltransferase
2.1.1.276	gibberellin A4 carboxyl methyltransferase
2.1.1.277	anthranilate O-methyltransferase
2.1.1.278	indole-3-acetate O-methyltransferase
2.1.1.279	trans-anol O-methyltransferase
2.1.1.281	phenylpyruvate C(3)-methyltransferase
2.1.1.282	tRNA(Phe) 7-[(3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4)]- methyltransferase
2.1.1.283	emodin O-methyltransferase
2.1.1.284	8-demethylnovobiocic acid C(8)-methyltransferase
2.1.1.285	demethyldecarbamoylnovobiocin O-methyltransferase
2.1.1.286	25S rRNA (adenine(2142)-N(1))-methyltransferase
2.1.1.287	25S rRNA (adenine(645)-N(1))-methyltransferase
2.1.1.288	aklanonic acid methyltransferase
2.1.1.289	cobalt-precorrin-7 (C(5))-methyltransferase
2.1.1.291	(R,S)-reticuline 7-O-methyltransferase
2.1.1.292	carminomycin 4-O-methyltransferase
2.1.1.293	6-hydroxytryprostatin B O-methyltransferase
2.1.1.294	3-O-phospho-polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 3-phospho-methyltransferase
2.1.1.295	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
2.1.1.296	methyltransferase cap2
2.1.1.297	peptide chain release factor N(5)-glutamine methyltransferase
2.1.1.298	ribosomal protein uL3 N(5)-glutamine methyltransferase
2.1.1.300	pavine N-methyltransferase
2.1.1.301	cypemycin N-terminal methyltransferase
2.1.1.302	3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase
2.1.1.303	2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase
2.1.1.304	L-tyrosine C(3)-methyltransferase
2.1.1.305	8-demethyl-8-alpha-L-rhamnosyl tetracenomycin-C 2'-O-methyltransferase
2.1.1.306	8-demethyl-8-(2-methoxy-alpha-L-rhamnosyl)-tetracenomycin-C 3'-O- methyltransferase
2.1.1.307	8-demethyl-8-(2,3-dimethoxy-alpha-L-rhamnosyl)-tetracenomycin-C 4'-O- methyltransferase
2.1.1.308	cytidylyl-2-hydroxyethylphosphonate methyltransferase
2.1.1.309	18S rRNA (guanine(1575)-N(7))-methyltransferase
2.1.1.310	25S rRNA (cytosine(2870)-C(5))-methyltransferase
2.1.1.311	25S rRNA (cytosine(2278)-C(5))-methyltransferase
2.1.1.312	25S rRNA (uracil(2843)-N(3))-methyltransferase
2.1.1.313	25S rRNA (uracil(2634)-N(3))-methyltransferase
2.1.1.314	diphthine methyl ester synthase
2.1.1.315	27-O-demethylrifamycin SV methyltransferase
2.1.1.316	mitomycin 6-O-methyltransferase
