# Generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicates	evidence
K05800	asnc_family,dna_binding,helix_turn_helix,regulator,transcription_factor	asnc_family=brite:ko03000 Prokaryotic type > Helix-turn-helix > Lrp/AsnC family;dna_binding=brite:ko03000 Prokaryotic type > Helix-turn-helix > Lrp/AsnC family;helix_turn_helix=brite:ko03000 Prokaryotic type > Helix-turn-helix > Lrp/AsnC family;regulator=text:Lrp;transcription_factor=brite:ko03000 Prokaryotic type > Helix-turn-helix > Lrp/AsnC family
K05801	chaperone,heat_shock,stress_response	chaperone=brite:ko03110 Heat shock proteins > HSP40 / DNAJ;heat_shock=brite:ko03110 Heat shock proteins > HSP40 / DNAJ;stress_response=text:chaperon
K05802	ion_channel,transporter	ion_channel=text:channel;transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K05804	arac_family,dna_binding,helix_turn_helix,regulator,transcription_factor	arac_family=brite:ko03000 Prokaryotic type > Helix-turn-helix > AraC family;dna_binding=brite:ko03000 Prokaryotic type > Helix-turn-helix > AraC family;helix_turn_helix=brite:ko03000 Prokaryotic type > Helix-turn-helix > AraC family;regulator=text:AraC;transcription_factor=brite:ko03000 Prokaryotic type > Helix-turn-helix > AraC family
K05807	membrane,transporter	membrane=text:membrane;transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K05810	glycosyltransferase,hydrolase,transferase	glycosyltransferase=ec:2.4.2.1;hydrolase=ec:3.5.4.4;transferase=ec:2.4.2.1
K05812	transferase	transferase=ec:2.5.1.25
K05813	abc_transporter,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Saccharide, polyol, and lipid transporters > Putative sn-Glycerol 3-phosphate transporter;transporter=brite:ko02000 ABC transporters, prokaryotic type > Saccharide, polyol, and lipid transporters > Putative sn-Glycerol 3-phosphate transporter
K05814	abc_transporter,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Saccharide, polyol, and lipid transporters > Putative sn-Glycerol 3-phosphate transporter;transporter=brite:ko02000 ABC transporters, prokaryotic type > Saccharide, polyol, and lipid transporters > Putative sn-Glycerol 3-phosphate transporter
K05815	abc_transporter,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Saccharide, polyol, and lipid transporters > Putative sn-Glycerol 3-phosphate transporter;transporter=brite:ko02000 ABC transporters, prokaryotic type > Saccharide, polyol, and lipid transporters > Putative sn-Glycerol 3-phosphate transporter
K05816	abc_transporter,atp_binding,translocase,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Saccharide, polyol, and lipid transporters > Putative sn-Glycerol 3-phosphate transporter;atp_binding=ec:7.6.2.10;translocase=ec:7.6.2.10;transporter=ec:7.6.2.10
K05817	dna_binding,helix_turn_helix,lysr_family,regulator,transcription_factor	dna_binding=brite:ko03000 Prokaryotic type > Helix-turn-helix > LysR family;helix_turn_helix=brite:ko03000 Prokaryotic type > Helix-turn-helix > LysR family;lysr_family=brite:ko03000 Prokaryotic type > Helix-turn-helix > LysR family;regulator=text:LysR;transcription_factor=brite:ko03000 Prokaryotic type > Helix-turn-helix > LysR family
K05818	dna_binding,helix_turn_helix,iclr_family,regulator,transcription_factor	dna_binding=brite:ko03000 Prokaryotic type > Helix-turn-helix > IclR family;helix_turn_helix=brite:ko03000 Prokaryotic type > Helix-turn-helix > IclR family;iclr_family=brite:ko03000 Prokaryotic type > Helix-turn-helix > IclR family;regulator=text:IclR;transcription_factor=brite:ko03000 Prokaryotic type > Helix-turn-helix > IclR family
K05819	mfs_transporter,transporter	mfs_transporter=brite:ko02000 Major facilitator superfamily (MFS) > Organic acid transporters > Aromatic acid:H+ symporter (AAHS) family [TC:2.A.1.15];transporter=brite:ko02000 Major facilitator superfamily (MFS) > Organic acid transporters > Aromatic acid:H+ symporter (AAHS) family [TC:2.A.1.15]
K05820	mfs_transporter,transporter	mfs_transporter=brite:ko02000 Major facilitator superfamily (MFS) > Organic acid transporters > Phenylproprionate permease (PPP) family [TC:2.A.1.27];transporter=brite:ko02000 Major facilitator superfamily (MFS) > Organic acid transporters > Phenylproprionate permease (PPP) family [TC:2.A.1.27]
K05821	aminotransferase,plp_binding,transferase	aminotransferase=ec:2.6.1.58;plp_binding=ec:2.6.1.58;transferase=ec:2.6.1.58
K05822	acetyltransferase,transferase	acetyltransferase=text:acetyltransferase;transferase=ec:2.3.1.89
K05823	amidase,hydrolase,peptidase	amidase=ec:3.5.1.47;hydrolase=ec:3.5.1.47;peptidase=brite:ko01002 Metallo peptidases > Family M20
K05824	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.87;nad_binding=ec:1.1.1.87;oxidoreductase=ec:1.1.1.87
K05825	aminotransferase,plp_binding,transferase	aminotransferase=ec:2.6.1.-;plp_binding=ec:2.6.1.-;transferase=ec:2.6.1.-
K05827	biosynthesis,ligase,synthetase	biosynthesis=text:biosynth;ligase=ec:6.3.2.43;synthetase=ec:6.3.2.43
K05828	atp_binding,kinase,transferase	atp_binding=ec:2.7.2.17;kinase=ec:2.7.2.17;transferase=ec:2.7.2.17
K05829	nad_binding,oxidoreductase,reductase	nad_binding=ec:1.2.1.103;oxidoreductase=ec:1.2.1.103;reductase=text:reductase
K05830	aminotransferase,plp_binding,transferase	aminotransferase=ec:2.6.1.118;plp_binding=ec:2.6.1.118;transferase=ec:2.6.1.118
K05831	amidase,hydrolase	amidase=ec:3.5.1.130;hydrolase=ec:3.5.1.130
K05832	abc_transporter,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Phosphate and amino acid transporters > Putative tryptophan/tyrosine transporter;transporter=brite:ko02000 ABC transporters, prokaryotic type > Phosphate and amino acid transporters > Putative tryptophan/tyrosine transporter
K05833	abc_transporter,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Phosphate and amino acid transporters > Putative tryptophan/tyrosine transporter;transporter=brite:ko02000 ABC transporters, prokaryotic type > Phosphate and amino acid transporters > Putative tryptophan/tyrosine transporter
K05834	efflux_pump,transporter	efflux_pump=text:efflux;transporter=brite:ko02000 Other transporters > Electrochemical potential-driven transporters [TC:2]
K05835	efflux_pump,transporter	efflux_pump=text:efflux;transporter=brite:ko02000 Other transporters > Electrochemical potential-driven transporters [TC:2]
K05836	dna_binding,gntr_family,helix_turn_helix,regulator,transcription_factor	dna_binding=brite:ko03000 Prokaryotic type > Helix-turn-helix > GntR family;gntr_family=brite:ko03000 Prokaryotic type > Helix-turn-helix > GntR family;helix_turn_helix=brite:ko03000 Prokaryotic type > Helix-turn-helix > GntR family;regulator=text:GntR;transcription_factor=brite:ko03000 Prokaryotic type > Helix-turn-helix > GntR family
K05837	carbohydrate_active,glycosyltransferase,peptidoglycan,transferase	carbohydrate_active=brite:ko01003 Polysaccharide > Bacterial polysaccharide (excluding LPS);glycosyltransferase=ec:2.4.99.28;peptidoglycan=brite:ko01011 Peptidoglycan biosynthesis and degradation > Glycosyltransferase;transferase=ec:2.4.99.28
K05841	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=brite:ko01003 Others > Hydrophobic molecule;glycosyltransferase=ec:2.4.1.173;transferase=ec:2.4.1.173
K05844	ligase,ribosomal_protein,synthetase,translation	ligase=ec:6.3.2.-;ribosomal_protein=text:ribosomal protein;synthetase=ec:6.3.2.-;translation=text:ribosomal protein
K05845	abc_transporter,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Mineral and organic ion transporters > Osmoprotectant transporter;transporter=brite:ko02000 ABC transporters, prokaryotic type > Mineral and organic ion transporters > Osmoprotectant transporter
K05846	abc_transporter,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Mineral and organic ion transporters > Osmoprotectant transporter;transporter=brite:ko02000 ABC transporters, prokaryotic type > Mineral and organic ion transporters > Osmoprotectant transporter
K05847	abc_transporter,atp_binding,translocase,transporter	abc_transporter=brite:ko02000 ABC transporters, prokaryotic type > Mineral and organic ion transporters > Osmoprotectant transporter;atp_binding=ec:7.6.2.9;translocase=ec:7.6.2.9;transporter=ec:7.6.2.9
K05848	amidase,hydrolase	amidase=ec:3.5.1.-;hydrolase=ec:3.5.1.-
K05849	inner_membrane,membrane,transporter	inner_membrane=swissprot:11/13;membrane=swissprot:11/13;transporter=brite:ko02000 Solute carrier family (SLC) > SLC8: Na+/Ca2+ exchanger
K05850	ion_transporter,membrane,translocase,transporter	ion_transporter=ec:7.2.2.10;membrane=swissprot:13/16;translocase=ec:7.2.2.10;transporter=ec:7.2.2.10
K05851	lyase	lyase=ec:4.6.1.1
K05852	transporter	transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K05853	ion_transporter,translocase,transporter	ion_transporter=ec:7.2.2.10;translocase=ec:7.2.2.10;transporter=ec:7.2.2.10
K05854	atp_binding,kinase,transferase	atp_binding=ec:2.7.10.2;kinase=ec:2.7.10.2;transferase=ec:2.7.10.2
K05855	atp_binding,kinase,transferase	atp_binding=ec:2.7.10.2;kinase=ec:2.7.10.2;transferase=ec:2.7.10.2
K05856	atp_binding,kinase,transferase	atp_binding=ec:2.7.10.2;kinase=ec:2.7.10.2;transferase=ec:2.7.10.2
K05857	hydrolase,phosphodiesterase	hydrolase=ec:3.1.4.11;phosphodiesterase=ec:3.1.4.11
K05858	hydrolase,phosphodiesterase,regulator,regulatory	hydrolase=ec:3.1.4.11;phosphodiesterase=ec:3.1.4.11;regulator=swissprot:12/14;regulatory=swissprot:12/14
K05859	hydrolase,phosphodiesterase	hydrolase=ec:3.1.4.11;phosphodiesterase=ec:3.1.4.11
K05860	hydrolase,phosphodiesterase	hydrolase=ec:3.1.4.11;phosphodiesterase=ec:3.1.4.11
K05861	hydrolase,phosphodiesterase	hydrolase=ec:3.1.4.11;phosphodiesterase=ec:3.1.4.11
K05862	ion_channel,transporter	ion_channel=text:channel;transporter=text:channel
K05863	transporter	transporter=brite:ko02000 Solute carrier family (SLC) > SLC25: Mitochondrial carrier
K05864	isomerase	isomerase=ec:5.2.1.8
K05866	hydrolase,phosphatase	hydrolase=ec:3.1.3.48;phosphatase=ec:3.1.3.48
K05867	hydrolase,phosphatase	hydrolase=ec:3.1.3.48;phosphatase=ec:3.1.3.48
K05868	replication	replication=brite:ko03032 Eukaryotic type > DNA Replication Termination Factors > Prevention of re-replication factors
K05869	kinase,serine_threonine_kinase,transferase	kinase=ec:2.7.11.17;serine_threonine_kinase=ec:2.7.11.17;transferase=ec:2.7.11.17
K05870	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > Basic leucine zipper (bZIP) > CREB
K05871	atp_binding,kinase,transferase	atp_binding=ec:2.7.10.2;kinase=ec:2.7.10.2;transferase=ec:2.7.10.2
K05872	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > beta-Scaffold factors with minor groove contacts > RHR (Rel homology region) Ankyrin only
K05873	lyase	lyase=ec:4.6.1.1
K05874	chemotaxis	chemotaxis=brite:ko02035 Flagellar system > Chemotaxis proteins > MCPs
K05875	chemotaxis	chemotaxis=brite:ko02035 Flagellar system > Chemotaxis proteins > MCPs
K05876	chemotaxis	chemotaxis=brite:ko02035 Flagellar system > Chemotaxis proteins > MCPs
K05877	chemotaxis	chemotaxis=brite:ko02035 Flagellar system > Chemotaxis proteins > MCPs
K05878	atp_binding,kinase,transferase	atp_binding=ec:2.7.1.121;kinase=ec:2.7.1.121;transferase=ec:2.7.1.121
