# Pfam/GO/ENZYME facts behind pfam_predicates.tsv (generated).
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# accession	name	description	go_anchors	enzymes
PF00132	Hexapep	Bacterial transferase hexapeptide (six repeats)		
PF00133	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0006412,GO:0006418,GO:0006520,GO:0009058,GO:0016070,GO:0016874,GO:0043039	
PF00135	COesterase	Carboxylesterase family		carboxylesterase=3.1.1.1
PF00136	DNA_pol_B	DNA polymerase family B	GO:0000166,GO:0003677,GO:0005488	
PF00137	ATP-synt_C	ATP synthase subunit C	GO:0005215,GO:0006810,GO:0006811,GO:0015075,GO:0016020,GO:0022857,GO:0034220,GO:0055085	atp synthase=7.1.2.2
PF00140	Sigma70_r1_2	Sigma-70 factor, region 1.2	GO:0003677,GO:0003700,GO:0005488,GO:0006351,GO:0006352,GO:0006355,GO:0009058,GO:0016070,GO:0016987,GO:0019222,GO:0065007,GO:0140110	
PF00141	peroxidase	Peroxidase	GO:0003824,GO:0004601,GO:0005488,GO:0006950,GO:0006979,GO:0016209,GO:0016491,GO:0020037,GO:0046906	peroxidase=1.11.1.7
PF00142	Fer4_NifH	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0016491	
PF00144	Beta-lactamase	Beta-lactamase		beta-lactamase=3.5.2.6
PF00145	DNA_methylase	C-5 cytosine-specific DNA methylase	GO:0003824,GO:0008168,GO:0016740	dna methylase=2.1.1.37
PF00146	NADHdh	NADH dehydrogenase	GO:0016020	nadh dehydrogenase=7.1.1.2
PF00148	Oxidored_nitro	Nitrogenase component 1 type Oxidoreductase	GO:0003824,GO:0016491	nitrogenase=1.18.6.1|1.19.6.1
PF00149	Metallophos	Calcineurin-like phosphoesterase	GO:0003824,GO:0016787	
PF00150	Cellulase	Cellulase (glycosyl hydrolase family 5)	GO:0000272,GO:0003824,GO:0004553,GO:0005975,GO:0016787,GO:0016798	cellulase=3.2.1.4
PF00151	Lipase	Lipase	GO:0003824,GO:0016787,GO:0016788	
PF00152	tRNA-synt_2	tRNA synthetases class II (D, K and N)	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0006412,GO:0006418,GO:0006520,GO:0009058,GO:0016070,GO:0016874,GO:0043039	
PF00153	Mito_carr	Mitochondrial carrier protein		
PF00154	RecA	recA bacterial DNA recombination protein		
PF00155	Aminotran_1_2	Aminotransferase class I and II	GO:0005488,GO:0009058,GO:0030170	
PF00156	Pribosyltran	Phosphoribosyl transferase domain		
PF00157	Pou	Pou domain - N-terminal to homeobox domain	GO:0003700,GO:0006355,GO:0019222,GO:0065007,GO:0140110	
PF00158	Sigma54_activat	Sigma-54 interaction domain	GO:0000166,GO:0005488,GO:0005515,GO:0005524,GO:0006355,GO:0019222,GO:0065007	
PF00160	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	GO:0003755,GO:0003824,GO:0016853,GO:0036211	cyclophilin=5.2.1.8
PF00161	RIP	Ribosome inactivating protein	GO:0003824,GO:0016787,GO:0016798,GO:0019222,GO:0065007	
PF00162	PGK	Phosphoglycerate kinase	GO:0003824,GO:0005975,GO:0006090,GO:0006091,GO:0006096,GO:0006163,GO:0009060,GO:0009117,GO:0015980,GO:0016301,GO:0016740,GO:0016772,GO:0045333,GO:0055086	phosphoglycerate kinase=2.7.2.10|2.7.2.3
PF00163	Ribosomal_S4	Ribosomal protein S4/S9 N-terminal domain	GO:0003723,GO:0005488,GO:0019843	
PF00164	Ribosom_S12_S23	Ribosomal protein S12/S23	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00165	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family	GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0019222,GO:0043565,GO:0065007,GO:0140110	
PF00166	Cpn10	Chaperonin 10 Kd subunit	GO:0000166,GO:0005488,GO:0005524,GO:0006457,GO:0009058,GO:0044183,GO:0051604	chaperonin=5.6.1.7
PF00170	bZIP_1	bZIP transcription factor	GO:0003700,GO:0006355,GO:0019222,GO:0065007,GO:0140110	
PF00171	Aldedh	Aldehyde dehydrogenase family	GO:0003824,GO:0016491	aldehyde dehydrogenase=1.2.1.10|1.2.5.2|1.2.99.7
PF00172	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain	GO:0003700,GO:0005488,GO:0006355,GO:0008270,GO:0019222,GO:0046872,GO:0065007,GO:0140110	
PF00173	Cyt-b5	Cytochrome b5-like Heme/Steroid binding domain		
PF00174	Oxidored_molyb	Oxidoreductase molybdopterin binding domain		
PF00175	NAD_binding_1	Oxidoreductase NAD-binding domain	GO:0003824,GO:0016491	
PF00176	SNF2-rel_dom	SNF2-related domain	GO:0000166,GO:0005488,GO:0005524	
PF00177	Ribosomal_S7	Ribosomal protein S7p/S5e		
PF00178	Ets	Ets-domain	GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0019222,GO:0043565,GO:0065007,GO:0140110	
PF00179	UQ_con	Ubiquitin-conjugating enzyme		
PF00180	Iso_dh	Isocitrate/isopropylmalate dehydrogenase		
PF00181	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00182	Glyco_hydro_19	Chitinase class I	GO:0003824,GO:0004553,GO:0004568,GO:0006032,GO:0016787,GO:0016798,GO:0016998	chitinase=3.2.1.14
PF00183	HSP90	Hsp90 protein	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0006457,GO:0009058,GO:0016787,GO:0016887,GO:0044183,GO:0051604,GO:0140662	
PF00185	OTCace	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	GO:0003824,GO:0005488,GO:0006520,GO:0016740	
PF00186	DHFR_1	Dihydrofolate reductase	GO:0003824,GO:0006760,GO:0009058,GO:0009396,GO:0016491,GO:0046653,GO:0046654	dihydrofolate reductase=1.5.1.3
PF00187	Chitin_bind_1	Chitin recognition protein	GO:0005488,GO:0008061	
PF00189	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain	GO:0003735,GO:0005198,GO:0006412,GO:0009058	
PF00195	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain		
PF00196	GerE	Bacterial regulatory proteins, luxR family	GO:0006355,GO:0019222,GO:0065007	
PF00197	Kunitz_legume	Trypsin and protease inhibitor		trypsin=3.4.21.4
PF00198	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	GO:0003824,GO:0016740	
PF00199	Catalase	Catalase	GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0016209,GO:0016491,GO:0020037,GO:0046906	catalase=1.11.1.6
PF00201	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase	GO:0003824,GO:0016740,GO:0016757	
PF00202	Aminotran_3	Aminotransferase class-III	GO:0005488,GO:0030170	
PF00203	Ribosomal_S19	Ribosomal protein S19	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00204	DNA_gyraseB	DNA gyrase B	GO:0000166,GO:0003677,GO:0003824,GO:0003916,GO:0005488,GO:0005524,GO:0006265,GO:0016853	dna gyrase=5.6.2.2
PF00205	TPP_enzyme_M	Thiamine pyrophosphate enzyme, central domain	GO:0000287,GO:0005488,GO:0030976,GO:0046872	
PF00206	Lyase_1	Lyase		
PF00208	ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	GO:0003824,GO:0006520,GO:0016491	
PF00209	SNF	Sodium:neurotransmitter symporter family	GO:0016020	
PF00210	Ferritin	Ferritin-like domain	GO:0005488,GO:0005506,GO:0046872	
PF00211	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain	GO:0007165,GO:0009058,GO:0009117,GO:0009165,GO:0023052,GO:0035556,GO:0055086,GO:0065007	guanylate cyclase=4.6.1.2
PF00213	OSCP	ATP synthase delta (OSCP) subunit	GO:0003824,GO:0005215,GO:0005216,GO:0006163,GO:0006164,GO:0009058,GO:0009117,GO:0009165,GO:0015075,GO:0015267,GO:0015986,GO:0016874,GO:0022857,GO:0046933,GO:0055086	atp synthase=7.1.2.2
PF00215	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family	GO:0003824,GO:0009058,GO:0016829,GO:0016831,GO:0055086	
PF00216	Bac_DNA_binding	Bacterial DNA-binding protein	GO:0003677,GO:0005198,GO:0005488,GO:0030527	
PF00217	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain	GO:0003824,GO:0016301,GO:0016740,GO:0016772	phosphotransferase=2.7.4.27|2.7.4.28
PF00218	IGPS	Indole-3-glycerol phosphate synthase	GO:0003824,GO:0016829,GO:0016831	
PF00219	IGFBP	Insulin-like growth factor binding protein	GO:0005576	
PF00221	Lyase_aromatic	Aromatic amino acid lyase		
PF00223	PsaA_PsaB	Photosystem I psaA/psaB protein	GO:0015979,GO:0016020	photosystem i=1.97.1.12
PF00224	PK	Pyruvate kinase, barrel domain	GO:0000287,GO:0003824,GO:0005488,GO:0005975,GO:0006090,GO:0006091,GO:0006096,GO:0006163,GO:0009060,GO:0009117,GO:0015980,GO:0016740,GO:0016772,GO:0045333,GO:0046872,GO:0055086	pyruvate kinase=2.7.1.40
PF00226	DnaJ	DnaJ domain		
PF00227	Proteasome	Proteasome subunit	GO:0000502,GO:0005839	proteasome=3.4.25.1
PF00230	MIP	Major intrinsic protein	GO:0005215,GO:0006810,GO:0015267,GO:0016020,GO:0022857,GO:0055085	
PF00231	ATP-synt	ATP synthase	GO:0003824,GO:0005215,GO:0005216,GO:0006163,GO:0006164,GO:0009058,GO:0009117,GO:0009165,GO:0015075,GO:0015267,GO:0015986,GO:0016020,GO:0016874,GO:0022857,GO:0045259,GO:0046933,GO:0055086	atp synthase=7.1.2.2
PF00232	Glyco_hydro_1	Glycosyl hydrolase family 1	GO:0003824,GO:0004553,GO:0005975,GO:0016787,GO:0016798	
PF00233	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase	GO:0003824,GO:0004114,GO:0007165,GO:0008081,GO:0016787,GO:0016788,GO:0023052,GO:0065007	phosphodiesterase=3.1.4.1
PF00237	Ribosomal_L22	Ribosomal protein L22p/L17e	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00238	Ribosomal_L14	Ribosomal protein L14p/L23e	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00239	Resolvase	Resolvase, N terminal domain	GO:0000150,GO:0003677,GO:0003824,GO:0005488,GO:0006310	
PF00240	ubiquitin	Ubiquitin family	GO:0005488,GO:0005515	
PF00241	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein	GO:0005488,GO:0005515	
PF00242	DNA_pol_viral_N	DNA polymerase (viral) N-terminal domain	GO:0003677,GO:0003824,GO:0003887,GO:0005488,GO:0006260,GO:0016740,GO:0016772,GO:0016779,GO:0034061	
PF00245	Alk_phosphatase	Alkaline phosphatase	GO:0003824,GO:0016787,GO:0016788,GO:0016791	alkaline phosphatase=3.1.3.1
PF00246	Peptidase_M14	Zinc carboxypeptidase	GO:0003824,GO:0005488,GO:0006508,GO:0008233,GO:0008270,GO:0016787,GO:0046872	
PF00248	Aldo_ket_red	Aldo/keto reductase family		
PF00249	Myb_DNA-binding	Myb-like DNA-binding domain		
PF00250	Forkhead	Forkhead domain	GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0019222,GO:0043565,GO:0065007,GO:0140110	
PF00251	Glyco_hydro_32N	Glycosyl hydrolases family 32 N-terminal domain		
PF00252	Ribosomal_L16	Ribosomal protein L16p/L10e		
PF00253	Ribosomal_S14	Ribosomal protein S14p/S29e	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00254	FKBP_C	FKBP-type peptidyl-prolyl cis-trans isomerase	GO:0003755,GO:0003824,GO:0016853	peptidyl-prolyl cis-trans isomerase=5.2.1.8
PF00255	GSHPx	Glutathione peroxidase	GO:0003824,GO:0004601,GO:0006950,GO:0006979,GO:0016209,GO:0016491	glutathione peroxidase=1.11.1.9;peroxidase=1.11.1.7
PF00258	Flavodoxin_1	Flavodoxin	GO:0000166,GO:0005488,GO:0010181	
PF00263	Secretin	Bacterial type II and III secretion system protein	GO:0006810,GO:0009306,GO:0015031	
PF00265	TK	Thymidine kinase	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0016301,GO:0016740,GO:0016772	thymidine kinase=2.7.1.21
PF00266	Aminotran_5	Aminotransferase class-V		
PF00267	Porin_1	Gram-negative porin	GO:0005215,GO:0005576,GO:0006810,GO:0006811,GO:0009279,GO:0015267,GO:0015288,GO:0016020,GO:0019867,GO:0022857,GO:0030312,GO:0034220,GO:0055085	
PF00268	Ribonuc_red_sm	Ribonucleotide reductase, small chain	GO:0009058,GO:0009262	ribonucleotide reductase=1.17.4.1|1.17.4.2
PF00270	DEAD	DEAD/DEAH box helicase	GO:0000166,GO:0005488,GO:0005524	
PF00271	Helicase_C	Helicase conserved C-terminal domain		
PF00274	Glycolytic	Fructose-bisphosphate aldolase class-I	GO:0003824,GO:0005975,GO:0006090,GO:0006091,GO:0006096,GO:0006163,GO:0009060,GO:0009117,GO:0015980,GO:0016829,GO:0045333,GO:0055086	aldolase=4.1.2.13;fructose-bisphosphate aldolase=4.1.2.13
PF00275	EPSP_synthase	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	GO:0003824,GO:0016740	3-phosphoshikimate 1-carboxyvinyltransferase=2.5.1.19;epsp synthase=2.5.1.19
PF00276	Ribosomal_L23	Ribosomal protein L23	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00278	Orn_DAP_Arg_deC	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	GO:0003824	
PF00281	Ribosomal_L5	Ribosomal protein L5		
PF00282	Pyridoxal_deC	Pyridoxal-dependent decarboxylase conserved domain	GO:0003824,GO:0005488,GO:0016829,GO:0030170	
PF00283	Cytochrom_B559	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	GO:0015979	
PF00284	Cytochrom_B559a	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit	GO:0005488,GO:0009521,GO:0009523,GO:0015979,GO:0016020,GO:0046872	
PF00285	Citrate_synt	Citrate synthase, C-terminal domain	GO:0003824,GO:0016740	citrate synthase=2.3.3.1|2.3.3.16|2.3.3.3
PF00286	Flexi_CP	Viral coat protein	GO:0005198,GO:0019028,GO:0044423	
PF00287	Na_K-ATPase	Sodium / potassium ATPase beta chain	GO:0005886,GO:0006810,GO:0006811,GO:0006814,GO:0016020,GO:0030001	
PF00288	GHMP_kinases_N	GHMP kinases N terminal domain	GO:0000166,GO:0005488,GO:0005524	
PF00289	Biotin_carb_N	Biotin carboxylase, N-terminal domain		biotin carboxylase=6.3.4.14
PF00290	Trp_syntA	Tryptophan synthase alpha chain	GO:0003824,GO:0016829,GO:0016836	tryptophan synthase=4.2.1.122|4.2.1.20;tryptophan synthase alpha=4.1.2.8
PF00291	PALP	Pyridoxal-phosphate dependent enzyme		
PF00292	PAX	'Paired box' domain	GO:0003677,GO:0005488,GO:0006355,GO:0019222,GO:0065007	
PF00293	NUDIX	NUDIX domain		
PF00294	PfkB	pfkB family carbohydrate kinase		
PF00295	Glyco_hydro_28	Glycosyl hydrolases family 28	GO:0003824,GO:0004553,GO:0005975,GO:0016787,GO:0016798	
PF00296	Bac_luciferase	Luciferase-like monooxygenase	GO:0003824,GO:0016491	
PF00297	Ribosomal_L3	Ribosomal protein L3	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00298	Ribosomal_L11	Ribosomal protein L11, RNA binding domain	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00300	His_Phos_1	Histidine phosphatase superfamily (branch 1)		
PF00301	Rubredoxin	Rubredoxin	GO:0005488,GO:0005506,GO:0046872	
PF00302	CAT	Chloramphenicol acetyltransferase	GO:0003824,GO:0016407,GO:0016740	
PF00303	Thymidylat_synt	Thymidylate synthase		thymidylate synthase=2.1.1.148|2.1.1.45
PF00305	Lipoxygenase	Lipoxygenase	GO:0003824,GO:0005488,GO:0016491,GO:0046872,GO:0051213	
PF00306	ATP-synt_ab_C	ATP synthase alpha/beta chain, C terminal domain	GO:0006163,GO:0006164,GO:0009058,GO:0009117,GO:0009165,GO:0015986,GO:0055086	atp synthase=7.1.2.2
PF00308	Bac_DnaA	Bacterial DnaA ATPAse domain		
PF00309	Sigma54_AID	Sigma-54 factor, Activator interacting domain (AID)	GO:0001216,GO:0003700,GO:0016987,GO:0140110	
PF00310	GATase_2	Glutamine amidotransferases class-II		
PF00311	PEPcase	Phosphoenolpyruvate carboxylase	GO:0003824,GO:0006091,GO:0006099,GO:0008964,GO:0009060,GO:0015977,GO:0015980,GO:0016829,GO:0016831,GO:0045333	phosphoenolpyruvate carboxylase=4.1.1.31|4.1.1.32|4.1.1.38|4.1.1.49
PF00312	Ribosomal_S15	Ribosomal protein S15	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00313	CSD	'Cold-shock' DNA-binding domain	GO:0005488	
PF00316	FBPase	Fructose-1-6-bisphosphatase, N-terminal domain		
PF00317	Ribonuc_red_lgN	Ribonucleotide reductase, all-alpha domain	GO:0000166,GO:0003824,GO:0004748,GO:0005488,GO:0005524,GO:0009058,GO:0009262,GO:0016491	ribonucleotide reductase=1.17.4.1|1.17.4.2
