# Generated by scripts/build_pfam_predicate_map.py; edit the proposals, not this file.
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (553,641 reviewed proteins with Pfam); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; KO predicates from kegg_predicates.tsv sha256 054c42a1455b7f34
# accession	name	predicates	evidence
PF00001	7tm_1	membrane	membrane=go:GO:0016020
PF00002	7tm_2	membrane	membrane=go:GO:0016020
PF00003	7tm_3	membrane	membrane=go:GO:0016020
PF00004	AAA	aaa_domain,atp_binding,atpase	aaa_domain=text:AAA;atp_binding=go:GO:0005524;atpase=go:GO:0016887
PF00005	ABC_tran	abc_atpase,abc_transporter,atp_binding,transporter	abc_atpase=go:GO:0016887;abc_transporter=text:ABC_;atp_binding=go:GO:0005524;transporter=text:ABC_
PF00006	ATP-synt_ab	atp_binding,atp_synthesis,binding,energy_metabolism,synthase	atp_binding=go:GO:0005524;atp_synthesis=text:ATP-synt;binding=go:GO:0005488;energy_metabolism=text:ATP-synt;synthase=text:synthase
PF00009	GTP_EFTU	binding,gtp_binding,gtpase,translation,translation_factor	binding=go:GO:0005488;gtp_binding=go:GO:0005525;gtpase=go:GO:0003924;translation=text:Elongation factor;translation_factor=text:Elongation factor
PF00010	HLH	binding,dna_binding,helix_loop_helix	binding=go:GO:0005488;dna_binding=text:DNA-binding;helix_loop_helix=text:HLH
PF00011	HSP20	chaperone,heat_shock,small_hsp,stress_response	chaperone=text:HSP2;heat_shock=text:HSP;small_hsp=text:HSP20;stress_response=text:HSP2
PF00012	HSP70	atp_binding,chaperone,heat_shock,hsp70,stress_response	atp_binding=go:GO:0005524;chaperone=text:HSP7;heat_shock=text:HSP;hsp70=text:HSP70;stress_response=text:HSP7
PF00013	KH_1	rna_binding	rna_binding=go:GO:0003723
PF00014	Kunitz_BPTI	protease	protease=enzyme:3.4.21.4 (trypsin)
PF00015	MCPsignal	chemotaxis,membrane,signaling	chemotaxis=text:Methyl-accepting;membrane=go:GO:0016020;signaling=go:GO:0007165
PF00016	RuBisCO_large	carbon_fixation,rubisco	carbon_fixation=go:GO:0016984;rubisco=go:GO:0016984
PF00018	SH3_1	protein_binding	protein_binding=go:GO:0005515
PF00023	Ank	ankyrin_repeat,protein_binding,repeat_domain	ankyrin_repeat=text:Ank;protein_binding=go:GO:0005515;repeat_domain=text:Ankyrin
PF00025	Arf	gtp_binding,gtpase	gtp_binding=go:GO:0005525;gtpase=go:GO:0003924
PF00026	Asp	hydrolase,peptidase,protease	hydrolase=text:protease;peptidase=swissprot:242/246 KOs 26/26 single-domain 154/157;protease=text:protease
PF00027	cNMP_binding	binding,crp_fnr_family	binding=text:binding;crp_fnr_family=text:cNMP
PF00028	Cadherin	adhesin,cell_surface	adhesin=go:GO:0007155;cell_surface=go:GO:0007155
PF00032	Cytochrom_B_C	cytochrome,electron_transport,heme_binding,respiration	cytochrome=text:Cytochrom;electron_transport=go:GO:0009055;heme_binding=text:Cytochrom;respiration=text:Cytochrom_B
PF00033	Cytochrome_B	cytochrome,electron_transport,heme_binding,respiration	cytochrome=text:Cytochrom;electron_transport=go:GO:0009055;heme_binding=text:Cytochrome;respiration=text:Cytochrome_B
PF00034	Cytochrom_C	cytochrome,electron_transport,heme_binding,respiration	cytochrome=text:Cytochrom;electron_transport=go:GO:0009055;heme_binding=go:GO:0020037;respiration=text:Cytochrom_C
PF00035	dsrm	binding,rna_binding	binding=text:binding;rna_binding=text:RNA binding
PF00036	EF-hand_1	calcium_binding,metal_binding	calcium_binding=go:GO:0005509;metal_binding=go:GO:0046872
PF00037	Fer4	binding,electron_transport,iron_sulfur,metal_binding	binding=text:binding;electron_transport=text:Fer4;iron_sulfur=text:Fer4;metal_binding=text:Fer4
PF00042	Globin	heme_binding	heme_binding=go:GO:0020037
PF00043	GST_C	transferase	transferase=text:transferase
PF00044	Gp_dh_N	binding,central_metabolism,cofactor_binding,dehydrogenase,glycolysis,nad_binding,oxidoreductase	binding=go:GO:0005488;central_metabolism=text:Glyceraldehyde;cofactor_binding=text:NAD binding;dehydrogenase=text:dehydrogenase;glycolysis=text:Gp_dh;nad_binding=go:GO:0051287;oxidoreductase=text:dehydrogenase
PF00046	Homeodomain	dna_binding,helix_turn_helix	dna_binding=go:GO:0003677;helix_turn_helix=go:GO:0003677
PF00056	Ldh_1_N	binding,cofactor_binding,dehydrogenase,nad_binding,oxidoreductase	binding=text:binding;cofactor_binding=text:NAD binding;dehydrogenase=text:dehydrogenase;nad_binding=text:NAD binding;oxidoreductase=go:GO:0016491
PF00058	Ldl_recept_b	repeat_domain	repeat_domain=text:repeat
PF00060	Lig_chan	ion_channel,transporter	ion_channel=go:GO:0005216;transporter=go:GO:0005215
PF00061	Lipocalin	binding	binding=text:binding
PF00062	Lys	lysozyme	lysozyme=text:lysozyme
PF00064	Neur	carbohydrate_active,glycosidase,hydrolase	carbohydrate_active=swissprot:143/143 single-domain 143/143;glycosidase=go:GO:0016798;hydrolase=swissprot:143/143 single-domain 143/143
PF00067	p450	cytochrome,electron_transport,heme_binding,iron_binding,monooxygenase,oxidoreductase,oxygenase	cytochrome=text:Cytochrom;electron_transport=text:Cytochrom;heme_binding=go:GO:0020037;iron_binding=go:GO:0005506;monooxygenase=go:GO:0004497;oxidoreductase=go:GO:0016491;oxygenase=go:GO:0004497
PF00068	Phospholip_A2_1	hydrolase,lipase,phospholipid_metabolism	hydrolase=go:GO:0016787;lipase=go:GO:0004620;phospholipid_metabolism=go:GO:0006644
PF00069	Pkinase	kinase,serine_threonine_kinase,transferase	kinase=text:kinase;serine_threonine_kinase=swissprot:2954/3189 KOs 323/360 single-domain 1676/1856;transferase=text:kinase
PF00070	Pyr_redox	oxidoreductase,reductase	oxidoreductase=text:oxidoreductase;reductase=text:Pyr_redox
PF00071	Ras	gtp_binding,gtpase	gtp_binding=go:GO:0005525;gtpase=go:GO:0003924
PF00072	Response_reg	regulator,response_regulator,two_component	regulator=go:GO:0065007;response_regulator=go:GO:0000160;two_component=go:GO:0000160
PF00073	Rhv	viral_capsid,viral_structure	viral_capsid=go:GO:0005198;viral_structure=go:GO:0005198
PF00074	RnaseA	hydrolase,nuclease,rnase	hydrolase=text:nuclease;nuclease=text:ribonuclease;rnase=text:ribonuclease
PF00075	RNase_H	endonuclease,hydrolase,nuclease,rnase	endonuclease=swissprot:467/469 KOs 3/3 single-domain 334/335;hydrolase=go:GO:0016787;nuclease=swissprot:467/469 KOs 3/3 single-domain 334/335;rnase=go:GO:0004540
PF00076	RRM_1	rna_binding	rna_binding=go:GO:0003723
PF00077	RVP	hydrolase,peptidase,protease	hydrolase=text:protease;peptidase=swissprot:151/151 KOs 3/3 co-domains excluded;protease=text:protease
PF00078	RVT_1	dna_polymerase,mobile_element,nucleotidyltransferase,replication,transferase	dna_polymerase=text:DNA pol;mobile_element=text:RVT;nucleotidyltransferase=swissprot:273/283 KOs 5/6 single-domain 20/24;replication=text:DNA polymerase;transferase=swissprot:273/283 KOs 5/6 single-domain 20/24
PF00080	Sod_Cu	copper_binding,manganese_binding,metal_binding,oxidative_stress,superoxide_dismutase	copper_binding=text:Copper;manganese_binding=text:superoxide dismutase;metal_binding=go:GO:0046872;oxidative_stress=text:Sod_;superoxide_dismutase=text:superoxide dismutase
PF00081	Sod_Fe_N	manganese_binding,metal_binding,oxidative_stress,superoxide_dismutase	manganese_binding=text:Sod_Fe;metal_binding=go:GO:0046872;oxidative_stress=go:GO:0016209;superoxide_dismutase=go:GO:0004784
PF00082	Peptidase_S8	hydrolase,peptidase,protease	hydrolase=go:GO:0016787;peptidase=swissprot:397/399 KOs 33/33 single-domain 29/31;protease=go:GO:0008233
PF00083	Sugar_tr	membrane,mfs_transporter,sugar_transporter,transporter	membrane=go:GO:0016020;mfs_transporter=text:Sugar_tr;sugar_transporter=text:Sugar;transporter=go:GO:0005215
PF00084	Sushi	repeat_domain	repeat_domain=text:repeat
PF00085	Thioredoxin	oxidoreductase,thioredoxin	oxidoreductase=text:Thioredoxin;thioredoxin=text:Thioredoxin
PF00086	Thyroglobulin_1	repeat_domain	repeat_domain=text:repeat
PF00087	Toxin_TOLIP	toxin_domain	toxin_domain=text:Toxin
PF00089	Trypsin	hydrolase,peptidase,protease	hydrolase=go:GO:0016787;peptidase=swissprot:816/899 KOs 121/127 single-domain 575/634;protease=go:GO:0008233
PF00091	Tubulin	cell_division,divisome,ftsz,gtp_binding,gtpase	cell_division=text:Tubulin/FtsZ;divisome=text:FtsZ;ftsz=text:Tubulin;gtp_binding=go:GO:0005525;gtpase=text:GTPase
PF00096	zf-C2H2	dna_binding,metal_binding,zinc_binding,zinc_finger	dna_binding=text:Zinc finger;metal_binding=text:zf-;zinc_binding=text:zf-;zinc_finger=text:zf-
PF00097	zf-C3HC4	metal_binding,zinc_binding,zinc_finger	metal_binding=go:GO:0046872;zinc_binding=text:zf-;zinc_finger=text:zf-
PF00098	zf-CCHC	metal_binding,zinc_binding,zinc_finger	metal_binding=go:GO:0046872;zinc_binding=go:GO:0008270;zinc_finger=go:GO:0008270
PF00101	RuBisCO_small	carbon_fixation,rubisco	carbon_fixation=text:RuBisCO;rubisco=text:RuBisCO
PF00102	Y_phosphatase	hydrolase,phosphatase,phosphoprotein_phosphatase	hydrolase=go:GO:0016787;phosphatase=go:GO:0016791;phosphoprotein_phosphatase=go:GO:0004721
PF00104	Hormone_recep	binding	binding=text:binding
PF00105	zf-C4	metal_binding,zinc_binding,zinc_finger	metal_binding=go:GO:0046872;zinc_binding=go:GO:0008270;zinc_finger=go:GO:0008270
PF00106	adh_short	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=text:adh_short;oxidoreductase=text:dehydrogenase
PF00107	ADH_zinc_N	binding,dehydrogenase,metal_binding,nad_binding,oxidoreductase,zinc_binding	binding=text:binding;dehydrogenase=text:dehydrogenase;metal_binding=text:zinc;nad_binding=text:ADH_zinc;oxidoreductase=text:dehydrogenase;zinc_binding=text:ADH_zinc
PF00108	Thiolase_N	fatty_acid_degradation,lipid_metabolism,transferase	fatty_acid_degradation=text:Thiolase;lipid_metabolism=text:Thiolase;transferase=go:GO:0016740
PF00109	ketoacyl-synt	fatty_acid_synthesis,lipid_metabolism,synthase,transferase	fatty_acid_synthesis=text:ketoacyl;lipid_metabolism=text:ketoacyl;synthase=text:synthase;transferase=swissprot:539/558 KOs 53/59 co-domains excluded
PF00111	Fer2	2fe2s,binding,electron_transport,iron_sulfur,metal_binding	2fe2s=text:Fer2;binding=go:GO:0005488;electron_transport=text:2Fe-2S;iron_sulfur=go:GO:0051536;metal_binding=text:Fer2
PF00112	Peptidase_C1	cysteine_protease,hydrolase,protease	cysteine_protease=go:GO:0008234;hydrolase=go:GO:0016787;protease=go:GO:0008233
PF00113	Enolase_C	dehydratase,glycolysis,lyase	dehydratase=swissprot:916/916 KOs 2/2 single-domain 7/7;glycolysis=text:Enolase;lyase=swissprot:916/916 KOs 2/2 single-domain 7/7
PF00114	Pilin	cell_surface,pilus	cell_surface=go:GO:0007155;pilus=go:GO:0009289
PF00115	COX1	cytochrome,cytochrome_c_oxidase,electron_transport,heme_binding,oxidase,oxidoreductase,respiration,terminal_oxidase,translocase,transporter	cytochrome=text:COX;cytochrome_c_oxidase=go:GO:0004129;electron_transport=go:GO:0009055;heme_binding=go:GO:0020037;oxidase=go:GO:0016491;oxidoreductase=go:GO:0016491;respiration=go:GO:0009060;terminal_oxidase=go:GO:0004129;translocase=swissprot:246/258 KOs 8/9 single-domain 238/242;transporter=swissprot:246/258 KOs 8/9 single-domain 238/242
PF00116	COX2	aerobic_respiration,cytochrome,electron_transport,heme_binding,oxidase,oxidoreductase,periplasmic,respiration,translocase,transporter	aerobic_respiration=go:GO:0004129;cytochrome=text:COX;electron_transport=go:GO:0009055;heme_binding=text:COX;oxidase=go:GO:0016491;oxidoreductase=go:GO:0016491;periplasmic=text:periplasm;respiration=go:GO:0004129;translocase=swissprot:338/344 KOs 5/6 single-domain 23/23;transporter=swissprot:339/344 KOs 5/6 single-domain 23/23
PF00117	GATase	amino_acid_metabolism,glutamine_amidotransferase,transferase	amino_acid_metabolism=text:Glutamine;glutamine_amidotransferase=text:Glutamine amidotransferase;transferase=text:transferase
PF00118	Cpn60_TCP1	chaperone,hsp60,stress_response	chaperone=text:chaperon;hsp60=text:Cpn60;stress_response=text:chaperon
PF00119	ATP-synt_A	atp_synthesis,energy_metabolism,synthase	atp_synthesis=go:GO:0015986;energy_metabolism=go:GO:0015986;synthase=text:synthase
PF00120	Gln-synt_C	ammonia_assimilation,glutamine_synthetase,ligase,nitrogen_metabolism	ammonia_assimilation=go:GO:0004356;glutamine_synthetase=go:GO:0004356;ligase=go:GO:0016874;nitrogen_metabolism=text:Gln-synt
PF00121	TIM	glycolysis,isomerase	glycolysis=text:TIM;isomerase=go:GO:0016853
PF00122	E1-E2_ATPase	atp_binding,atpase,transporter	atp_binding=text:ATPase;atpase=text:ATPase;transporter=text:E1-E2
PF00124	Photo_RC	photosynthesis	photosynthesis=go:GO:0015979
PF00125	Histone	dna_binding,histone	dna_binding=go:GO:0003677;histone=text:Histone
PF00126	HTH_1	dna_binding,helix_turn_helix,regulator,transcription_factor	dna_binding=go:GO:0003700;helix_turn_helix=text:HTH;regulator=go:GO:0065007;transcription_factor=go:GO:0003700
PF00127	Copper-bind	binding,copper_binding,metal_binding	binding=go:GO:0005488;copper_binding=go:GO:0005507;metal_binding=go:GO:0046872
PF00128	Alpha-amylase	amylase,carbohydrate_active,glycoside_hydrolase	amylase=text:amylase;carbohydrate_active=go:GO:0005975;glycoside_hydrolase=text:amylase
PF00130	C1_1	binding	binding=text:binding
PF00131	Metallothio	metal_binding	metal_binding=go:GO:0046872
PF00132	Hexapep	acetyltransferase,repeat_domain,transferase	acetyltransferase=text:hexapeptide;repeat_domain=text:hexapeptide;transferase=text:transferase
PF00133	tRNA-synt_1	amino_acid_metabolism,ligase,translation,trna_synthetase	amino_acid_metabolism=go:GO:0006520;ligase=go:GO:0016874;translation=go:GO:0006412;trna_synthetase=go:GO:0004812
PF00135	COesterase	esterase,hydrolase	esterase=text:esterase;hydrolase=text:esterase
PF00136	DNA_pol_B	dna_polymerase,nucleotidyltransferase,replication,transferase	dna_polymerase=text:DNA_pol;nucleotidyltransferase=swissprot:136/136 KOs 13/13 single-domain 3/3;replication=text:DNA polymerase;transferase=swissprot:136/136 KOs 13/13 single-domain 3/3
PF00137	ATP-synt_C	atp_synthesis,energy_metabolism,membrane,synthase	atp_synthesis=text:ATP-synt;energy_metabolism=text:ATP-synt;membrane=go:GO:0016020;synthase=text:synthase
PF00140	Sigma70_r1_2	regulator,sigma_factor	regulator=go:GO:0065007;sigma_factor=go:GO:0016987
PF00141	peroxidase	heme_binding,oxidase,oxidative_stress,oxidoreductase,peroxidase	heme_binding=go:GO:0020037;oxidase=go:GO:0016491;oxidative_stress=go:GO:0006979;oxidoreductase=go:GO:0016491;peroxidase=go:GO:0004601
PF00142	Fer4_NifH	binding,iron_sulfur,metal_binding	binding=go:GO:0005488;iron_sulfur=text:4Fe-4S;metal_binding=text:Fer4
PF00144	Beta-lactamase	antibiotic_resistance,beta_lactamase,hydrolase	antibiotic_resistance=text:Beta-lactamase;beta_lactamase=text:Beta-lactamase;hydrolase=text:lactamase
PF00145	DNA_methylase	dna_binding,methyltransferase,methyltransferase_rm,restriction_modification,transferase	dna_binding=text:DNA methylase;methyltransferase=go:GO:0008168;methyltransferase_rm=text:DNA_methylase;restriction_modification=text:DNA_methylase;transferase=go:GO:0016740
PF00146	NADHdh	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase
PF00148	Oxidored_nitro	oxidoreductase,reductase	oxidoreductase=go:GO:0016491;reductase=text:Oxidored
PF00149	Metallophos	esterase,hydrolase,metal_binding	esterase=text:esterase;hydrolase=go:GO:0016787;metal_binding=text:Metal
PF00150	Cellulase	carbohydrate_active,cellulase,glycosidase,glycoside_hydrolase,hydrolase	carbohydrate_active=go:GO:0005975;cellulase=text:Cellulase;glycosidase=swissprot:123/123 KOs 6/6 single-domain 75/75;glycoside_hydrolase=go:GO:0004553;hydrolase=go:GO:0016787
PF00151	Lipase	esterase,hydrolase,lipase	esterase=swissprot:78/83 KOs 9/9 single-domain 37/42;hydrolase=go:GO:0016787;lipase=text:Lipase
PF00152	tRNA-synt_2	amino_acid_metabolism,atp_binding,ligase,synthetase,translation,trna_synthetase	amino_acid_metabolism=go:GO:0006520;atp_binding=go:GO:0005524;ligase=go:GO:0016874;synthetase=swissprot:1565/1587 KOs 6/7 single-domain 96/98;translation=go:GO:0006412;trna_synthetase=go:GO:0004812
PF00153	Mito_carr	transporter	transporter=text:carrier
PF00154	RecA	atp_binding,dna_repair,recombinational_repair	atp_binding=text:RecA;dna_repair=text:RecA;recombinational_repair=text:RecA
PF00155	Aminotran_1_2	amino_acid_metabolism,aminotransferase,plp_binding,transferase	amino_acid_metabolism=go:GO:0030170;aminotransferase=text:Aminotransferase;plp_binding=go:GO:0030170;transferase=text:transferase
PF00156	Pribosyltran	nucleotide_metabolism,transferase	nucleotide_metabolism=text:Pribosyltran;transferase=text:transferase
PF00157	Pou	dna_binding	dna_binding=go:GO:0003700
PF00158	Sigma54_activat	atp_binding,regulator,sigma_factor	atp_binding=go:GO:0005524;regulator=go:GO:0065007;sigma_factor=text:Sigma
PF00160	Pro_isomerase	isomerase	isomerase=go:GO:0016853
PF00161	RIP	glycosidase,hydrolase,toxin_domain	glycosidase=swissprot:68/69 single-domain 49/49;hydrolase=swissprot:68/69 single-domain 49/49;toxin_domain=text:Ribosome inactivating
PF00162	PGK	atp_binding,central_metabolism,entner_doudoroff,gluconeogenesis,glycolysis,kinase,transferase	atp_binding=swissprot:719/719 KOs 2/2 single-domain 718/718;central_metabolism=swissprot:662/719 KOs 2/2 single-domain 661/718;entner_doudoroff=swissprot:662/719 KOs 2/2 single-domain 661/718;gluconeogenesis=swissprot:662/719 KOs 2/2 single-domain 661/718;glycolysis=go:GO:0006096;kinase=go:GO:0016301;transferase=go:GO:0016740
PF00163	Ribosomal_S4	ribosomal_protein,rna_binding,translation	ribosomal_protein=text:Ribosomal;rna_binding=go:GO:0003723;translation=text:Ribosomal protein
PF00164	Ribosom_S12_S23	ribosomal_protein,rna_binding,translation	ribosomal_protein=go:GO:0003735;rna_binding=text:Ribosom;translation=go:GO:0006412
PF00165	HTH_AraC	arac_family,dna_binding,helix_turn_helix,regulator,transcription_factor	arac_family=text:HTH_AraC;dna_binding=go:GO:0003677;helix_turn_helix=go:GO:0003677;regulator=go:GO:0065007;transcription_factor=go:GO:0003700
PF00166	Cpn10	chaperone,hsp60,stress_response	chaperone=go:GO:0006457;hsp60=go:GO:0006457;stress_response=text:Chaperon
PF00170	bZIP_1	dna_binding,regulator,transcription_factor	dna_binding=go:GO:0003700;regulator=go:GO:0065007;transcription_factor=go:GO:0003700
PF00171	Aldedh	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=swissprot:1291/1300 KOs 59/60 single-domain 1262/1270;oxidoreductase=go:GO:0016491
PF00172	Zn_clus	zinc_finger	zinc_finger=go:GO:0008270
PF00173	Cyt-b5	binding,cytochrome,electron_transport,heme_binding,iron_binding	binding=text:binding;cytochrome=text:Cyt;electron_transport=text:Cytochrom;heme_binding=text:Cytochrome;iron_binding=text:Heme
PF00174	Oxidored_molyb	binding,metal_binding,molybdenum_binding,oxidoreductase,reductase	binding=text:binding;metal_binding=text:molybd;molybdenum_binding=text:molybd;oxidoreductase=text:Oxidoreductase;reductase=text:Oxidored
PF00175	NAD_binding_1	binding,cofactor_binding,nad_binding,oxidoreductase,reductase	binding=text:binding;cofactor_binding=text:NAD-binding;nad_binding=text:NAD-binding;oxidoreductase=go:GO:0016491;reductase=text:Oxidored
PF00176	SNF2-rel_dom	atp_binding,helicase	atp_binding=go:GO:0005524;helicase=text:SNF2
PF00177	Ribosomal_S7	ribosomal_protein,translation	ribosomal_protein=text:Ribosomal;translation=text:Ribosomal protein
PF00178	Ets	dna_binding	dna_binding=go:GO:0003677
PF00179	UQ_con	conjugation,mobile_element,transferase	conjugation=text:conjugat;mobile_element=text:conjugat;transferase=swissprot:310/372 KOs 28/31 single-domain 294/356
PF00180	Iso_dh	dehydrogenase,nad_binding,oxidoreductase,tca_cycle	dehydrogenase=text:dehydrogenase;nad_binding=swissprot:420/424 KOs 8/8 single-domain 413/416;oxidoreductase=text:dehydrogenase;tca_cycle=text:Iso_dh
PF00181	Ribosomal_L2	binding,ribosomal_protein,rna_binding,translation	binding=text:binding;ribosomal_protein=go:GO:0003735;rna_binding=text:Ribosom;translation=go:GO:0006412
PF00182	Glyco_hydro_19	carbohydrate_active,chitinase,glycoside_hydrolase	carbohydrate_active=go:GO:0016798;chitinase=go:GO:0004568;glycoside_hydrolase=go:GO:0004553
PF00183	HSP90	chaperone,heat_shock,hsp90,stress_response	chaperone=go:GO:0006457;heat_shock=text:HSP;hsp90=go:GO:0006457;stress_response=text:HSP9
PF00185	OTCace	binding,transferase	binding=go:GO:0005488;transferase=go:GO:0016740
PF00186	DHFR_1	nad_binding,oxidoreductase,reductase	nad_binding=swissprot:97/99 KOs 8/9 single-domain 78/78;oxidoreductase=go:GO:0016491;reductase=text:reductase
PF00187	Chitin_bind_1	carbohydrate_binding	carbohydrate_binding=go:GO:0008061
PF00189	Ribosomal_S3_C	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00195	Chal_sti_synt_N	polyketide_synthesis,synthase	polyketide_synthesis=text:Chalcone;synthase=text:synthase
PF00196	GerE	dna_binding,luxr_family,regulator,transcription_factor	dna_binding=text:GerE;luxr_family=text:GerE;regulator=go:GO:0065007;transcription_factor=go:GO:0006355
PF00197	Kunitz_legume	hydrolase,protease	hydrolase=enzyme:3.4.21.4 (trypsin);protease=enzyme:3.4.21.4 (trypsin)
PF00198	2-oxoacid_dh	dehydrogenase,oxidoreductase,transferase	dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase;transferase=go:GO:0016740
PF00199	Catalase	catalase,heme_binding,oxidative_stress,oxidoreductase,peroxidase	catalase=go:GO:0004096;heme_binding=go:GO:0020037;oxidative_stress=go:GO:0016209;oxidoreductase=swissprot:154/155 single-domain 13/14;peroxidase=swissprot:154/155 single-domain 13/14
PF00201	UDPGT	glycosyltransferase,transferase	glycosyltransferase=go:GO:0016757;transferase=go:GO:0016740
PF00202	Aminotran_3	amino_acid_metabolism,aminotransferase,plp_binding,transferase	amino_acid_metabolism=go:GO:0030170;aminotransferase=text:Aminotransferase;plp_binding=go:GO:0030170;transferase=text:transferase
PF00203	Ribosomal_S19	ribosomal_protein,rna_binding,translation	ribosomal_protein=go:GO:0003735;rna_binding=text:Ribosom;translation=go:GO:0006412
PF00204	DNA_gyraseB	isomerase,replication,topoisomerase	isomerase=swissprot:167/167 KOs 4/4 co-domains excluded;replication=text:gyrase;topoisomerase=go:GO:0003916
PF00205	TPP_enzyme_M	thiamine_binding	thiamine_binding=go:GO:0030976
PF00206	Lyase_1	lyase	lyase=text:Lyase
PF00208	ELFV_dehydrog	amino_acid_degradation,dehydrogenase,oxidoreductase	amino_acid_degradation=text:ELFV_dehydrog;dehydrogenase=text:dehydrogenase;oxidoreductase=go:GO:0016491
PF00209	SNF	symporter,transporter	symporter=text:SNF;transporter=text:SNF
PF00210	Ferritin	metal_binding	metal_binding=go:GO:0046872
PF00211	Guanylate_cyc	signaling	signaling=go:GO:0007165
PF00213	OSCP	atp_binding,atp_synthesis,atpase,complex_subunit,energy_metabolism,synthase	atp_binding=swissprot:784/826 KOs 3/3 single-domain 761/803;atp_synthesis=go:GO:0015986;atpase=swissprot:784/826 KOs 3/3 single-domain 761/803;complex_subunit=swissprot:784/826 KOs 3/3 single-domain 761/803;energy_metabolism=go:GO:0015986;synthase=text:synthase
PF00215	OMPdecase	lyase,nucleotide_metabolism,pyrimidine_metabolism	lyase=go:GO:0016829;nucleotide_metabolism=go:GO:0055086;pyrimidine_metabolism=text:Orotidine
PF00216	Bac_DNA_binding	binding,dna_binding,dna_repair,replication	binding=go:GO:0005488;dna_binding=go:GO:0003677;dna_repair=swissprot:613/671 KOs 4/4 single-domain 613/671;replication=swissprot:613/671 KOs 4/4 single-domain 613/671
PF00217	ATP-gua_Ptrans	kinase,phosphotransferase,transferase	kinase=swissprot:135/135 KOs 5/5 co-domains excluded;phosphotransferase=go:GO:0016772;transferase=go:GO:0016740
PF00218	IGPS	decarboxylase,lyase,synthase	decarboxylase=swissprot:407/407 KOs 5/5 single-domain 374/374;lyase=swissprot:407/407 KOs 5/5 single-domain 374/374;synthase=text:synthase
PF00219	IGFBP	binding	binding=text:binding
PF00221	Lyase_aromatic	lyase	lyase=text:Lyase
PF00223	PsaA_PsaB	oxidoreductase,photosynthesis,photosystem_i	oxidoreductase=swissprot:293/293 KOs 2/2 single-domain 292/292;photosynthesis=go:GO:0015979;photosystem_i=go:GO:0015979
PF00224	PK	atp_binding,glycolysis,kinase,transferase	atp_binding=text:kinase;glycolysis=go:GO:0006096;kinase=text:kinase;transferase=go:GO:0016740
PF00226	DnaJ	chaperone,stress_response	chaperone=text:DnaJ;stress_response=text:DnaJ
PF00227	Proteasome	hydrolase,peptidase,protease	hydrolase=enzyme:3.4.25.1 (proteasome);peptidase=enzyme:3.4.25.1 (proteasome);protease=enzyme:3.4.25.1 (proteasome)
PF00230	MIP	ion_channel,membrane,transporter	ion_channel=go:GO:0015267;membrane=go:GO:0016020;transporter=go:GO:0005215
PF00231	ATP-synt	atp_binding,atp_synthesis,atpase,complex_subunit,energy_metabolism,synthase	atp_binding=swissprot:728/763 KOs 2/2 single-domain 728/763;atp_synthesis=go:GO:0015986;atpase=swissprot:728/763 KOs 2/2 single-domain 728/763;complex_subunit=swissprot:728/763 KOs 2/2 single-domain 728/763;energy_metabolism=go:GO:0015986;synthase=text:synthase
PF00232	Glyco_hydro_1	carbohydrate_active,hydrolase	carbohydrate_active=swissprot:207/212 KOs 20/22 single-domain 207/212;hydrolase=go:GO:0016787
PF00233	PDEase_I	esterase,hydrolase,phosphodiesterase	esterase=go:GO:0016788;hydrolase=go:GO:0016787;phosphodiesterase=swissprot:105/105 KOs 16/16 single-domain 25/25
PF00237	Ribosomal_L22	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00238	Ribosomal_L14	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00239	Resolvase	dna_binding,mobile_element,recombinase,resolvase	dna_binding=go:GO:0003677;mobile_element=go:GO:0006310;recombinase=go:GO:0000150;resolvase=go:GO:0000150
PF00240	ubiquitin	ubiquitin_like	ubiquitin_like=text:ubiquitin
PF00241	Cofilin_ADF	binding	binding=go:GO:0005488
PF00242	DNA_pol_viral_N	dna_polymerase,replication	dna_polymerase=go:GO:0003887;replication=go:GO:0006260
PF00245	Alk_phosphatase	hydrolase,phosphatase	hydrolase=go:GO:0016787;phosphatase=go:GO:0016791
PF00246	Peptidase_M14	hydrolase,peptidase,protease	hydrolase=go:GO:0016787;peptidase=go:GO:0008233;protease=go:GO:0008233
